"","NCES District ID","State District ID","nces_original_name","county","City","state","student","name"
"20","1602100","ID-002","JOINT SCHOOL DISTRICT NO. 2","Ada County","MERIDIAN","ID",40600,"joint school district no. 2"
"21","0802340","CO-0180","Aurora Joint District No. 28 of the counties of Adams and A","Arapahoe County","AURORA","CO",40088,"aurora joint district no. 28 of the counties of adams and a"
"22","3600102","NY-343000010000","NEW YORK CITY GEOGRAPHIC DISTRICT #30","Queens County","LONG ISLAND CITY","NY",39165,"new york city geographic district #30"
"23","0806900","CO-0020","Adams 12 Five Star Schools","Adams County","THORNTON","CO",38707,"adams 12 five star schools"
"24","3600088","NY-321100010000","NEW YORK CITY GEOGRAPHIC DISTRICT #11","Bronx County","BRONX","NY",38445,"new york city geographic district #11"
"25","0406250","AZ-4237","Peoria Unified School District (4237)","Maricopa County","PEORIA","AZ",37842,"peoria unified school district (4237)"
"26","1713710","IL-31-045-0460-22","SD U-46","Kane County","Elgin","IL",37266,"sd u-46"
"27","3600122","NY-342500010000","NEW YORK CITY GEOGRAPHIC DISTRICT #25","Queens County","FLUSHING","NY",37183,"new york city geographic district #25"
"28","4703030","TN-00630","Montgomery County","Montgomery County","Clarksville","TN",36582,"montgomery county"
"29","0101920","AL-037","Jefferson County","Jefferson County","Birmingham","AL",36359,"jefferson county"
"30","2733840","MN-010625","ST. PAUL PUBLIC SCHOOL DISTRICT","Ramsey County","SAINT PAUL","MN",36004,"st. paul public school district"
"31","3600152","NY-332100010000","NEW YORK CITY GEOGRAPHIC DISTRICT #21","Kings County","BROOKLYN","NY",35432,"new york city geographic district #21"
"32","3600153","NY-332200010000","NEW YORK CITY GEOGRAPHIC DISTRICT #22","Kings County","BROOKLYN","NY",34778,"new york city geographic district #22"
"33","0403400","AZ-4239","Gilbert Unified District (4239)","Maricopa County","GILBERT","AZ",34651,"gilbert unified district (4239)"
"34","0407750","AZ-4246","Deer Valley Unified District (4246)","Maricopa County","PHOENIX","AZ",34645,"deer valley unified district (4246)"
"35","3600086","NY-320900010000","NEW YORK CITY GEOGRAPHIC DISTRICT # 9","Bronx County","BRONX","NY",33752,"new york city geographic district # 9"
"36","0805370","CO-0470","St. Vrain Valley School District No. Re1J","Boulder County","LONGMONT","CO",32855,"st. vrain valley school district no. re1j"
"37","3600092","NY-331500010000","NEW YORK CITY GEOGRAPHIC DISTRICT #15","Kings County","BROOKLYN","NY",31975,"new york city geographic district #15"
"38","3600099","NY-342600010000","NEW YORK CITY GEOGRAPHIC DISTRICT #26","Queens County","BAYSIDE","NY",31826,"new york city geographic district #26"
"39","0802490","CO-0480","Boulder Valley School District No. Re2","Boulder County","BOULDER","CO",31000,"boulder valley school district no. re2"
"40","0405930","AZ-4241","Paradise Valley Unified District (4241)","Maricopa County","PHOENIX","AZ",30999,"paradise valley unified district (4241)"
"41","0803990","CO-1550","Poudre School District R-1","Larimer County","FORT COLLINS","CO",30754,"poudre school district r-1"
"42","0100270","AL-002","Baldwin County","Baldwin County","Bay Minette","AL",30602,"baldwin county"
"43","3404590","NJ-391320","Elizabeth Public Schools","Union County","Elizabeth","NJ",29021,"elizabeth public schools"
"44","0102430","AL-051","Montgomery County","Montgomery County","Montgomery","AL",28185,"montgomery county"
"45","3600085","NY-320800010000","NEW YORK CITY GEOGRAPHIC DISTRICT # 8","Bronx County","BRONX","NY",27901,"new york city geographic district # 8"
"46","0406330","AZ-4286","Phoenix Union High School District (4286)","Maricopa County","PHOENIX","AZ",27603,"phoenix union high school district (4286)"
"47","0801920","CO-1040","Academy School District No. 20 in the county of El Paso an","El Paso County","COLORADO SPRINGS","CO",26603,"academy school district no. 20 in the county of el paso an"
"48","3600101","NY-342900010000","NEW YORK CITY GEOGRAPHIC DISTRICT #29","Queens County","QUEENS VILLAGE","NY",26451,"new york city geographic district #29"
"49","0803060","CO-1010","Colorado Springs School District No. 11 in the county of E","El Paso County","COLORADO SPRINGS","CO",26040,"colorado springs school district no. 11 in the county of e"
"50","0402690","AZ-4243","Dysart Unified District (4243)","Maricopa County","SURPRISE","AZ",24590,"dysart unified district (4243)"
"51","4500720","SC-0201","Aiken 01","Aiken County","Aiken","SC",24184,"aiken 01"
"52","0803870","CO-1110","El Paso County Colorado School District 49","El Paso County","PEYTON","CO",23890,"el paso county colorado school district 49"
"53","0101800","AL-159","Huntsville City","Madison County","Huntsville","AL",23882,"huntsville city"
"54","4400900","RI-28","Providence","Providence County","Providence","RI",23836,"providence"
"55","0512660","AR-7207000","SPRINGDALE SCHOOL DISTRICT","Washington County","SPRINGDALE","AR",23470,"springdale school district"
"56","0409060","AZ-4260","Washington Elementary School District (4260)","Maricopa County","GLENDALE","AZ",23286,"washington elementary school district (4260)"
"57","0509000","AR-6001000","LITTLE ROCK SCHOOL DISTRICT","Pulaski County","LITTLE ROCK","AR",23237,"little rock school district"
"58","3600120","NY-331900010000","NEW YORK CITY GEOGRAPHIC DISTRICT #19","Kings County","BROOKLYN","NY",22893,"new york city geographic district #19"
"59","0100390","AL-114","Birmingham City","Jefferson County","Birmingham","AL",22726,"birmingham city"
"60","0804410","CO-3120","GreeleySchool District No. 6 in the county of Weld and Sta","Weld County","GREELEY","CO",22544,"greeleyschool district no. 6 in the county of weld and sta"
"61","0407570","AZ-4240","Scottsdale Unified District (4240)","Maricopa County","SCOTTSDALE","AZ",22410,"scottsdale unified district (4240)"
"62","0804350","CO-2000","Mesa County Valley School District No. 51","Mesa County","GRAND JUNCTION","CO",22046,"mesa county valley school district no. 51"
"63","3600078","NY-310300010000","NEW YORK CITY GEOGRAPHIC DISTRICT # 3","New York County","NEW YORK","NY",21832,"new york city geographic district # 3"
"64","3600090","NY-321200010000","NEW YORK CITY GEOGRAPHIC DISTRICT #12","Bronx County","BRONX","NY",21583,"new york city geographic district #12"
"65","3600083","NY-310600010000","NEW YORK CITY GEOGRAPHIC DISTRICT # 6","New York County","NEW YORK","NY",21095,"new york city geographic district # 6"
"66","3600095","NY-331700010000","NEW YORK CITY GEOGRAPHIC DISTRICT #17","Kings County","BROOKLYN","NY",21051,"new york city geographic district #17"
"67","0103030","AL-059","Shelby County","Shelby County","Columbiana","AL",20991,"shelby county"
"68","3600091","NY-331300010000","NEW YORK CITY GEOGRAPHIC DISTRICT #13","Kings County","BROOKLYN","NY",20961,"new york city geographic district #13"
"69","0902790","CT-0930011","New Haven School District","New Haven County","New Haven","CT",20468,"new haven school district"
"70","0900450","CT-0150011","Bridgeport School District","Fairfield County","Bridgeport","CT",20111,"bridgeport school district"
"71","0200510","AK-33","Matanuska-Susitna Borough School District","Matanuska-Susitna Borough","Palmer","AK",19502,"matanuska-susitna borough school district"
"72","0102220","AL-045","Madison County","Madison County","Huntsville","AL",19478,"madison county"
"73","0802580","CO-0040","School District 27J","Adams County","BRIGHTON","CO",19275,"school district 27j"
"74","0103390","AL-063","Tuscaloosa County","Tuscaloosa County","Tuscaloosa","AL",19052,"tuscaloosa county"
"75","3600084","NY-320700010000","NEW YORK CITY GEOGRAPHIC DISTRICT # 7","Bronx County","BRONX","NY",18949,"new york city geographic district # 7"
"76","0904830","CT-1510011","Waterbury School District","New Haven County","Waterbury","CT",18697,"waterbury school district"
"77","0901920","CT-0640011","Hartford School District","Hartford County","Hartford","CT",18081,"hartford school district"
"78","0503060","AR-0401000","BENTONVILLE SCHOOL DISTRICT","Benton County","BENTONVILLE","AR",17848,"bentonville school district"
"79","2908370","MO-092087","FT. ZUMWALT R-II","St. Charles County","O'FALLON","MO",17765,"ft. zumwalt r-ii"
"80","4220040","PA-114067002","Reading SD","Berks County","Reading","PA",17675,"reading sd"
"81","3600119","NY-331400010000","NEW YORK CITY GEOGRAPHIC DISTRICT #14","Kings County","BROOKLYN","NY",17604,"new york city geographic district #14"
"82","4104740","OR-00000000002082","Eugene SD 4J","Lane County","Eugene","OR",17331,"eugene sd 4j"
"83","4503900","SC-4604","York 04","York County","Fort Mill","SC",16977,"york 04"
"84","0404230","AZ-4267","Kyrene Elementary District (4267)","Maricopa County","TEMPE","AZ",16758,"kyrene elementary district (4267)"
"85","1810290","IN-7205","South Bend Community School Corp","St. Joseph County","South Bend","IN",16725,"south bend community school corp"
"86","0904320","CT-1350011","Stamford School District","Fairfield County","Stamford","CT",16479,"stamford school district"
"87","0403450","AZ-4285","Glendale Union High School District (4285)","Maricopa County","GLENDALE","AZ",16401,"glendale union high school district (4285)"
"88","1805670","IN-5330","MSD LAWRENCE TOWNSHIP","Marion County","Indianapolis","IN",16165,"msd lawrence township"
"89","0805400","CO-1560","Thompson School District R-2J","Larimer County","LOVELAND","CO",16163,"thompson school district r-2j"
"90","0806120","CO-2690","Pueblo School District No. 60 in the county of Pueblo and","Pueblo County","PUEBLO","CO",16065,"pueblo school district no. 60 in the county of pueblo and"
"91","0401680","AZ-4282","Cartwright Elementary District (4282)","Maricopa County","PHOENIX","AZ",16060,"cartwright elementary district (4282)"
"92","0511970","AR-0405000","ROGERS SCHOOL DISTRICT","Benton County","ROGERS","AR",16053,"rogers school district"
"93","0408170","AZ-4407","Sunnyside Unified District (4407)","Pima County","TUCSON","AZ",15610,"sunnyside unified district (4407)"
"94","1001300","DE-32","Red Clay Consolidated School District","New Castle County","Wilmington","DE",15520,"red clay consolidated school district"
"95","635430","CA-4369674","Santa Clara Unified","Santa Clara County","Santa Clara","CA",15306,"santa clara unified"
"96","625150","CA-5071175","Modesto City High","Stanislaus County","Modesto","CA",15160,"modesto city high"
"97","0805310","CO-0140","Littleton School District No. 6 in the county of Arapahoe","Arapahoe County","LITTLETON","CO",14988,"littleton school district no. 6 in the county of arapahoe"
"98","0506330","AR-6601000","FORT SMITH SCHOOL DISTRICT","Sebastian County","FORT SMITH","AR",14748,"fort smith school district"
"99","2905310","MO-048068","BLUE SPRINGS R-IV","Jackson County","BLUE SPRINGS","MO",14669,"blue springs r-iv"
"100","1812090","IN-8030","Vigo County School Corp","Vigo County","Terre Haute","IN",14642,"vigo county school corp"
"101","4108040","OR-00000000002048","Medford SD 549C","Jackson County","Medford","OR",14498,"medford sd 549c"
"102","0100007","AL-158","Hoover City","Jefferson County","Birmingham","AL",14061,"hoover city"
"103","5103300","VA-124","ROANOKE CITY PBLC SCHS","Roanoke city","Roanoke","VA",14039,"roanoke city pblc schs"
"104","3600096","NY-331800010000","NEW YORK CITY GEOGRAPHIC DISTRICT #18","Kings County","BROOKLYN","NY",13941,"new york city geographic district #18"
"105","0408850","AZ-4413","Vail Unified District (4413)","Pima County","VAIL","AZ",13792,"vail unified district (4413)"
"106","0400680","AZ-4406","Amphitheater Unified District (4406)","Pima County","TUCSON","AZ",13410,"amphitheater unified district (4406)"
"107","1000200","DE-33","Christina School District","New Castle County","Wilmington","DE",13370,"christina school district"
"108","0200600","AK-16","Fairbanks North Star Borough School District","Fairbanks North Star Borough","Fairbanks","AK",13319,"fairbanks north star borough school district"
"109","0408340","AZ-4287","Tempe Union High School District (4287)","Maricopa County","TEMPE","AZ",13174,"tempe union high school district (4287)"
"110","0403780","AZ-4248","Higley Unified School District (4248)","Maricopa County","GILBERT","AZ",13050,"higley unified school district (4248)"
"111","1804320","IN-4710","School City of Hammond","Lake County","Hammond","IN",12854,"school city of hammond"
"112","0404630","AZ-4404","Marana Unified District (4404)","Pima County","MARANA","AZ",12796,"marana unified district (4404)"
"113","3600079","NY-310400010000","NEW YORK CITY GEOGRAPHIC DISTRICT # 4","New York County","NEW YORK","NY",12778,"new york city geographic district # 4"
"114","0408520","AZ-4288","Tolleson Union High School District (4288)","Maricopa County","TOLLESON","AZ",12496,"tolleson union high school district (4288)"
"115","0400600","AZ-4280","Alhambra Elementary District (4280)","Maricopa County","PHOENIX","AZ",12307,"alhambra elementary district (4280)"
"116","0511850","AR-6003000","PULASKI CO. SPEC. SCHOOL DIST.","Pulaski County","LITTLE ROCK","AR",12274,"pulaski co. spec. school dist."
"117","0408310","AZ-4258","Tempe School District (4258)","Maricopa County","TEMPE","AZ",12219,"tempe school district (4258)"
"118","0901020","CT-0340011","Danbury School District","Fairfield County","Danbury","CT",11903,"danbury school district"
"119","0404380","AZ-4281","Litchfield Elementary District (4281)","Maricopa County","Litchfield Park","AZ",11859,"litchfield elementary district (4281)"
"120","3406540","NJ-211950","Hamilton Township Public School District","Mercer County","Hamilton","NJ",11841,"hamilton township public school district"
"121","1812360","IN-5360","MSD WARREN TOWNSHIP","Marion County","Indianapolis","IN",11830,"msd warren township"
"122","1000080","DE-29","Appoquinimink School District","New Castle County","Odessa","DE",11737,"appoquinimink school district"
"123","0403420","AZ-4271","Glendale Elementary District (4271)","Maricopa County","GLENDALE","AZ",11721,"glendale elementary district (4271)"
"124","1807410","IN-2400","New Albany-Floyd Co Con Sch","Floyd County","New Albany","IN",11702,"new albany-floyd co con sch"
"125","0100008","AL-169","Madison City","Madison County","Madison","AL",11695,"madison city"
"126","0903090","CT-1030011","Norwalk School District","Fairfield County","Norwalk","CT",11642,"norwalk school district"
"127","0101290","AL-026","Elmore County","Elmore County","Wetumpka","AL",11557,"elmore county"
"128","0804530","CO-0980","Harrison School District No. 2 in the county of El Paso an","El Paso County","COLORADO SPRINGS","CO",11543,"harrison school district no. 2 in the county of el paso an"
"129","1800360","IN-0365","Bartholomew Con School Corp","Bartholomew County","Columbus","IN",11499,"bartholomew con school corp"
"130","2717780","MN-010194","LAKEVILLE PUBLIC SCHOOL DISTRICT","Dakota County","LAKEVILLE","MN",11444,"lakeville public school district"
"131","3600081","NY-310500010000","NEW YORK CITY GEOGRAPHIC DISTRICT # 5","New York County","NEW YORK","NY",11430,"new york city geographic district # 5"
"132","1808760","IN-7175","Penn-Harris-Madison School Corp","St. Joseph County","Mishawaka","IN",11373,"penn-harris-madison school corp"
"133","0409630","AZ-4507","Yuma Union High School District (4507)","Yuma County","YUMA","AZ",11303,"yuma union high school district (4507)"
"134","1808910","IN-5350","MSD PIKE TOWNSHIP","Marion County","Indianapolis","IN",11274,"msd pike township"
"135","1800630","IN-5740","Monroe County Community Sch Corp","Monroe County","Bloomington","IN",11182,"monroe county community sch corp"
"136","4700147","TN-00985","Achievement School District","Davidson County","Nashville","TN",11169,"achievement school district"
"137","1812720","IN-5370","MSD WASHINGTON TOWNSHIP","Marion County","Indianapolis","IN",11157,"msd washington township"
"138","3600097","NY-333200010000","NEW YORK CITY GEOGRAPHIC DISTRICT #32","Kings County","BROOKLYN","NY",11128,"new york city geographic district #32"
"139","3304980","NH-371","Nashua School District","Hillsborough County","Nashua","NH",11082,"nashua school district"
"140","624600","CA-2465771","Merced City Elementary","Merced County","Merced","CA",11079,"merced city elementary"
"141","4110520","OR-00000000002182","Reynolds SD 7","Multnomah County","Fairview","OR",11071,"reynolds sd 7"
"142","0102100","AL-042","Limestone County","Limestone County","Athens","AL",11042,"limestone county"
"143","0900002","CT-9000016","Connecticut Technical Education and Career System","Middlesex County","Hartford","CT",10993,"connecticut technical education and career system"
"144","1000680","DE-36","Indian River School District","Sussex County","Selbyville","DE",10942,"indian river school district"
"145","635830","CA-4970920","Santa Rosa High","Sonoma County","Santa Rosa","CA",10941,"santa rosa high"
"146","0103360","AL-200","Tuscaloosa City","Tuscaloosa County","Tuscaloosa","AL",10910,"tuscaloosa city"
"147","0503750","AR-4304000","CABOT SCHOOL DISTRICT","Lonoke County","CABOT","AR",10851,"cabot school district"
"148","1807650","IN-3070","Noblesville Schools","Hamilton County","Noblesville","IN",10676,"noblesville schools"
"149","0506120","AR-7203000","FAYETTEVILLE SCHOOL DISTRICT","Washington County","FAYETTEVILLE","AR",10628,"fayetteville school district"
"150","0806150","CO-2700","Pueblo County School District 70","Pueblo County","PUEBLO","CO",10555,"pueblo county school district 70"
"151","1001240","DE-31","Brandywine School District","New Castle County","Wilmington","DE",10548,"brandywine school district"
"152","6000030","AS-4190000","American Samoa Department of Education","Eastern District","Pago Pago","AS",10448,"american samoa department of education"
"153","0504590","AR-2301000","CONWAY SCHOOL DISTRICT","Faulkner County","CONWAY","AR",10393,"conway school district"
"154","3170110","NE-280010000","ELKHORN PUBLIC SCHOOLS","Douglas County","ELKHORN","NE",10322,"elkhorn public schools"
"155","1803940","IN-1010","Greater Clark County Schools","Clark County","Jeffersonville","IN",10310,"greater clark county schools"
"156","1803750","IN-5310","Franklin Township Com Sch Corp","Marion County","Indianapolis","IN",10305,"franklin township com sch corp"
"157","1812390","IN-8130","Warrick County School Corp","Warrick County","Boonville","IN",10162,"warrick county school corp"
"158","3100016","NE-400002000","GRAND ISLAND PUBLIC SCHOOLS","Hall County","GRAND ISLAND","NE",10070,"grand island public schools"
"159","0902670","CT-0890011","New Britain School District","Hartford County","New Britain","CT",10032,"new britain school district"
"160","1000230","DE-34","Colonial School District","New Castle County","New Castle","DE",9921,"colonial school district"
"161","4818150","TX-015905","EDGEWOOD ISD","Bexar County","SAN ANTONIO","TX",9887,"edgewood isd"
"162","1800270","IN-3315","Avon Community School Corp","Hendricks County","Avon","IN",9871,"avon community school corp"
"163","642120","CA-1965102","Westside Union Elementary","Los Angeles County","Quartz Hill","CA",9686,"westside union elementary"
"164","0806480","CO-0990","School District No. 3 in the county of El Paso and State of","El Paso County","COLORADO SPRINGS","CO",9669,"school district no. 3 in the county of el paso and state of"
"165","1603240","ID-411","TWIN FALLS DISTRICT","Twin Falls County","TWIN FALLS","ID",9654,"twin falls district"
"166","0103062","AL-058","St Clair County","St. Clair County","Ashville","AL",9634,"st clair county"
"167","0402920","AZ-4437","Florence Unified School District (4437)","Pinal County","FLORENCE","AZ",9629,"florence unified school district (4437)"
"168","0901530","CT-0510011","Fairfield School District","Fairfield County","Fairfield","CT",9624,"fairfield school district"
"169","3600121","NY-332300010000","NEW YORK CITY GEOGRAPHIC DISTRICT #23","Kings County","BROOKLYN","NY",9617,"new york city geographic district #23"
"170","1805450","IN-4615","Lake Central School Corporation","Lake County","Saint John","IN",9587,"lake central school corporation"
"171","3410110","NJ-253160","MIDDLETOWN TOWNSHIP PUBLIC SCHOOL DISTRICT","Monmouth County","Middletown","NJ",9587,"middletown township public school district"
"172","0402860","AZ-4192","Flagstaff Unified District (4192)","Coconino County","FLAGSTAFF","AZ",9576,"flagstaff unified district (4192)"
"173","0102070","AL-041","Lee County","Lee County","Opelika","AL",9508,"lee county"
"174","0406810","AZ-4245","Queen Creek Unified District (4245)","Maricopa County","QUEEN CREEK","AZ",9495,"queen creek unified district (4245)"
"175","0503690","AR-6303000","BRYANT SCHOOL DISTRICT","Saline County","BRYANT","AR",9459,"bryant school district"
"176","1801020","IN-3305","Brownsburg Community School Corp","Hendricks County","Brownsburg","IN",9453,"brownsburg community school corp"
"177","0904920","CT-1550011","West Hartford School District","Hartford County","West Hartford","CT",9437,"west hartford school district"
"178","0101020","AL-022","Cullman County","Cullman County","Cullman","AL",9349,"cullman county"
"179","0406210","AZ-4283","Pendergast Elementary District (4283)","Maricopa County","PHOENIX","AZ",9161,"pendergast elementary district (4283)"
"180","0805550","CO-0010","Mapleton School District No. 1 in the county of Adams & St","Adams County","DENVER","CO",9149,"mapleton school district no. 1 in the county of adams & st"
"181","0100240","AL-001","Autauga County","Autauga County","Prattville","AL",9120,"autauga county"
"182","0807230","CO-0070","Westminster Public Schools","Adams County","WESTMINSTER","CO",9090,"westminster public schools"
"183","636390","CA-4169062","Sequoia Union High","San Mateo County","Redwood City","CA",9052,"sequoia union high"
"184","2718780","MN-010077","MANKATO PUBLIC SCHOOL DISTRICT","Blue Earth County","MANKATO","MN",9021,"mankato public school district"
"185","0901710","CT-0570011","Greenwich School District","Fairfield County","Granby","CT",9015,"greenwich school district"
"186","0409600","AZ-4499","Yuma Elementary District (4499)","Yuma County","YUMA","AZ",9009,"yuma elementary district (4499)"
"187","0101140","AL-025","DeKalb County","DeKalb County","Rainsville","AL",8973,"dekalb county"
"188","0100210","AL-110","Auburn City","Lee County","Auburn","AL",8930,"auburn city"
"189","1801440","IN-4205","Center Grove Community School Corp","Johnson County","Greenwood","IN",8876,"center grove community school corp"
"190","0101170","AL-127","Decatur City","Morgan County","Decatur","AL",8842,"decatur city"
"191","2714220","MN-010272","EDEN PRAIRIE PUBLIC SCHOOL DISTRICT","Hennepin County","EDEN PRAIRIE","MN",8826,"eden prairie public school district"
"192","1802490","IN-4660","Crown Point Community School Corp","Lake County","Crown Point","IN",8795,"crown point community school corp"
"193","0200390","AK-24","Kenai Peninsula Borough School District","Kenai Peninsula Borough","Soldotna","AK",8774,"kenai peninsula borough school district"
"194","0101230","AL-130","Dothan City","Houston County","DOTHAN","AL",8701,"dothan city"
"195","0510680","AR-6002000","N. LITTLE ROCK SCHOOL DISTRICT","Pulaski County","NORTH LITTLE ROCK","AR",8681,"n. little rock school district"
"196","0407080","AZ-4279","Roosevelt Elementary District (4279)","Maricopa County","PHOENIX","AZ",8660,"roosevelt elementary district (4279)"
"197","0101380","AL-028","Etowah County","Etowah County","Gadsden","AL",8614,"etowah county"
"198","2201830","LA-058","Vernon Parish","Vernon Parish","Leesville","LA",8541,"vernon parish"
"199","0804080","CO-1000","Fountain School District No. 8 in the county of El Paso an","El Paso County","FOUNTAIN","CO",8529,"fountain school district no. 8 in the county of el paso an"
"200","0100540","AL-008","Calhoun County","Calhoun County","Anniston","AL",8495,"calhoun county"
"201","2711250","MN-010273","EDINA PUBLIC SCHOOL DISTRICT","Hennepin County","EDINA","MN",8445,"edina public school district"
"202","0400450","AZ-4289","Agua Fria Union High School District (4289)","Maricopa County","Avondale","AZ",8359,"agua fria union high school district (4289)"
"203","4503840","SC-4602","York 02","York County","Clover","SC",8295,"york 02"
"204","1000180","DE-10","Caesar Rodney School District","Kent County","Wyoming","DE",8183,"caesar rodney school district"
"205","0102010","AL-039","Lauderdale County","Lauderdale County","Florence","AL",8160,"lauderdale county"
"206","0902400","CT-0800011","Meriden School District","New Haven County","Meriden","CT",8117,"meriden school district"
"207","4702130","TN-00901","Johnson City","Washington County","Johnson City","TN",8098,"johnson city"
"208","1805400","IN-7855","Lafayette School Corporation","Tippecanoe County","Lafayette","IN",8060,"lafayette school corporation"
"209","0900510","CT-0170011","Bristol School District","Hartford County","Bristol","CT",7858,"bristol school district"
"210","1808250","IN-0225","Northwest Allen County Schools","Allen County","Fort Wayne","IN",7857,"northwest allen county schools"
"211","0100660","AL-011","Chilton County","Chilton County","Clanton","AL",7831,"chilton county"
"212","1800030","IN-0125","MSD SOUTHWEST ALLEN COUNTY SCHLS","Allen County","Fort Wayne","IN",7685,"msd southwest allen county schls"
"213","0100420","AL-005","Blount County","Blount County","Oneonta","AL",7653,"blount county"
"214","641580","CA-5772694","Washington Unified","Yolo County","West Sacramento","CA",7646,"washington unified"
"215","0102480","AL-052","Morgan County","Morgan County","Decatur","AL",7616,"morgan county"
"216","0404290","AZ-4276","Laveen Elementary District (4276)","Maricopa County","LAVEEN","AZ",7492,"laveen elementary district (4276)"
"217","0404720","AZ-4441","Maricopa Unified School District (4441)","Pinal County","MARICOPA","AZ",7492,"maricopa unified school district (4441)"
"218","0103450","AL-064","Walker County","Walker County","Jasper","AL",7492,"walker county"
"219","3407230","NJ-352170","Hillsborough Township Public School District","Somerset County","Hillsborough","NJ",7489,"hillsborough township public school district"
"220","2005490","KS-D0232","De Soto","Johnson County","De Soto","KS",7467,"de soto"
"221","0102700","AL-184","Phenix City","Russell County","Phenix City","AL",7449,"phenix city"
"222","1802830","IN-0630","Zionsville Community Schools","Boone County","Zionsville","IN",7435,"zionsville community schools"
"223","1809150","IN-6550","Portage Township Schools","Porter County","Portage","IN",7349,"portage township schools"
"224","0103180","AL-061","Talladega County","Talladega County","Talladega","AL",7320,"talladega county"
"225","0807350","CO-3100","Weld County Reorganized School District No. Re-4","Weld County","WINDSOR","CO",7313,"weld county reorganized school district no. re-4"
"226","2918690","MO-096093","LINDBERGH SCHOOLS","St. Louis County","St. Louis","MO",7236,"lindbergh schools"
"227","0103430","AL-202","Vestavia Hills City","Jefferson County","Vestavia Hills","AL",7137,"vestavia hills city"
"228","0400295","AZ-79598","Kingman Unified School District (79598)","Mohave County","KINGMAN","AZ",7092,"kingman unified school district (79598)"
"229","1801890","IN-4145","Clark-Pleasant Community Sch Corp","Johnson County","Whiteland","IN",6979,"clark-pleasant community sch corp"
"230","1812420","IN-4415","Warsaw Community Schools","Kosciusko County","Warsaw","IN",6957,"warsaw community schools"
"231","3410500","NJ-233290","Monroe Township School District","Middlesex County","MONROE TOWNSHIP","NJ",6895,"monroe township school district"
"232","0101320","AL-132","Enterprise City","Coffee County","Enterprise","AL",6839,"enterprise city"
"233","1802640","IN-5300","MSD DECATUR TOWNSHIP","Marion County","Indianapolis","IN",6825,"msd decatur township"
"234","612070","CA-0961853","El Dorado Union High","El Dorado County","Placerville","CA",6814,"el dorado union high"
"235","3600094","NY-331600010000","NEW YORK CITY GEOGRAPHIC DISTRICT #16","Kings County","BROOKLYN","NY",6814,"new york city geographic district #16"
"236","0803540","CO-0910","Eagle County School District No. Re 50","Eagle County","EAGLE","CO",6812,"eagle county school district no. re 50"
"237","1800150","IN-5275","Anderson Community School Corp","Madison County","Anderson","IN",6811,"anderson community school corp"
"238","0904440","CT-1380011","Stratford School District","Fairfield County","Stratford","CT",6795,"stratford school district"
"239","0904620","CT-1440011","Trumbull School District","Fairfield County","Trumbull","CT",6787,"trumbull school district"
