state,name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed
NJ,Evesham Township,31300301000000,81977,2020,General Purpose,96042054,47885000,0,0,5392554,0,41277822,0,3899850,0,0,0,0,0,179317007,5096005,174221002,0,0,0,179317007,FALSE
CA,Yuba Community College District,NA,31919,2020,Community College District,354782749,217560484,17091866,5792000,0,889248,57083201,0,54667946,0,1698004,0,0,0,0,0,0,23898729,81043136,12085188,104941865,FALSE
OH,Powell Community Infrastructure Financing Authority,NA,159511,2020,Special District,5010218,115010,23033,0,2160000,2712175,0,0,0,0,0,0,0,0,0,0,0,460531,2754,0,463285,FALSE
NE,Sanitary and Improvement District No. 9 of Cass County,NA,108620,2020,Special District,5679065,5355000,324065,0,0,0,0,0,0,0,0,0,0,0,583412,-21661,605073,0,0,0,583412,FALSE
NY,Jefferson Community College,NA,60136,2020,Community College District,84265778,0,5334481,1257813,0,0,5902199,0,71174216,0,597069,0,0,0,0,0,0,8684472,22911091,53123,31595563,FALSE
OH,Belmont College,NA,45526,2020,Community College District,10795918,0,704088,125952,0,0,7903621,0,781154,447367,49509,0,0,0,0,0,0,3262546,6406766,198351,9669312,FALSE
NY,Hancock,33301300900000,122089,2020,General Purpose,204972,376558,0,0,0,0,796041,0,0,204972,0,0,2347,0,4976030,336022,4642355,0,0,0,4978377,FALSE
NC,Brunswick,34202400200000,123187,2020,General Purpose,50526,0,2998,0,0,0,44787,0,0,0,0,223670,34041,1089541,424340,1189419,582173,145119,0,1089541,1771592,FALSE
OH,Cleveland Heights-University Heights City School District,NA,48653,2020,School District,317944926,0,16142567,0,0,0,115543284,0,11079440,0,10826877,4472096,13264441,0,110862355,-19451735,148050627,0,0,0,128598892,FALSE
OH,Clear Creek Township,36308300100000,98129,2020,General Purpose,0,0,0,0,0,0,0,0,0,0,0,718094,2086812,44450,12278668,763738,14364286,0,0,0,15128024,FALSE
NC,Saratoga,34209800400000,123483,2020,General Purpose,460425,0,177843,0,246744,0,0,0,0,0,0,819250,10638,0,203252,834525,198615,0,0,0,1033140,FALSE
LA,Sixteenth Judicial District Court Judicial Expense Fund,NA,95120,2020,Special District,3077516,0,142386,0,0,0,8736,0,2926394,0,0,1167210,151863,0,31907,43816,1307164,0,0,0,1350980,FALSE
OH,Enoch Township,36306100600000,83056,2020,General Purpose,0,0,0,0,0,26011,0,0,0,0,0,0,224057,0,112681,34536,302202,0,0,0,336738,FALSE
NY,Columbia-Greene Community College,NA,44109,2020,Community College District,38594691,0,2763479,0,0,0,4108211,0,31006091,0,244743,0,0,0,0,0,0,3377159,14347693,9197493,17724852,FALSE
OH,Riley Township,36307200600000,84231,2020,General Purpose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450952,95556,355396,0,0,0,450952,FALSE
OH,Archbold,36202600100000,98193,2020,General Purpose,5577717,2405000,0,0,995187,2177530,0,0,0,0,0,5126668,768105,0,6275100,2027447,10142426,0,0,0,12169873,FALSE
OH,South Bloomfield Township,36305901300000,125366,2020,General Purpose,0,126500,0,0,0,0,0,0,0,0,0,0,202030,0,449423,232507,418946,0,0,0,651453,FALSE
NE,Nebraska Indian Community College,NA,47150,2020,Community College District,880049,0,344179,0,0,394497,0,0,0,0,141373,182450,4159880,116587,129036,1045546,3542407,0,0,0,4587953,FALSE
OH,Hiram Township,36306700900000,83332,2020,General Purpose,0,0,0,0,0,0,0,0,0,0,0,0,419818,0,799905,212686,1007037,0,0,0,1219723,FALSE
NY,Monroe Community College,NA,43033,2020,Community College District,284295728,0,23388937,510634,0,0,27651674,0,229018288,0,3726195,0,0,0,0,0,0,47221852,91935874,2527682,139157726,FALSE
OH,Crawford Township,36308800300000,98131,2020,General Purpose,0,0,0,0,0,0,0,0,0,0,0,0,188068,0,313736,124718,377086,0,0,0,501804,FALSE
PA,Upper Southampton Township,39300902600000,127228,2020,General Purpose,9885955,1577000,1348109,0,0,1712000,288843,542247,4730648,0,229355,2586532,1777974,889863,8864479,1600460,12518388,0,0,0,14118848,FALSE
AR,Hope,4202900300000,48260,2020,General Purpose,22952301,13964109,604662,0,0,118423,5883395,0,0,0,353795,2990988,473874,1892,6613994,-79889,10160637,0,0,0,10080748,FALSE
AR,Marked Tree,4205600400000,96201,2020,General Purpose,57134,2835000,57134,46736,0,12993,1278423,0,0,0,25042,0,0,0,2332438,192030,2140408,0,0,0,2332438,FALSE
OH,Southington Township,36307802100000,84391,2020,General Purpose,0,0,0,369959,33494,0,0,0,0,0,0,32249,434047,0,360446,255428,571314,0,0,0,826742,FALSE
OH,Dover,36207900500000,83005,2020,General Purpose,47747077,7231532,3752544,410,6359935,0,19468721,144073,8102688,0,2637545,32700178,2070724,210276,11645222,-641601,47268001,0,0,0,46626400,FALSE
MO,Newton County,26107307300000,119575,2020,General Purpose,0,0,0,727328,0,0,0,0,0,0,231127,3332486,7288724,210875,13899911,6780747,17951249,0,42,0,24731996,FALSE
OK,Creek County,37101901900000,84870,2020,General Purpose,0,0,0,0,0,0,0,0,0,0,0,0,12968,0,23363888,200270,23176586,0,0,0,23376856,FALSE
IN,Batesville,15206900100000,105628,2020,General Purpose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30770132,-11824508,42594640,0,0,0,30770132,FALSE
MI,Commerce Charter Township,23306300500000,198275,2020,General Purpose,74819061,38828083,6113358,770335,784804,0,0,0,0,0,260875,22076284,1950336,2460548,21200086,-187123,47874377,0,0,0,47687254,FALSE
GA,Habersham County Board of Education,NA,196520,2020,School District,172892782,32377491,10823018,0,0,0,69416104,0,57530836,0,0,1917323,57679559,154440,38041799,404536,97388585,0,0,0,97793121,FALSE
VT,Milton,46300400800000,88875,2020,General Purpose,15706858,10091973,1388150,0,0,2230588,1802380,0,0,0,163767,2814943,545192,999435,7170386,682104,10847852,0,0,0,11529956,FALSE
WI,Muscoda,50302202100000,131250,2020,General Purpose,1597665,415000,429529,0,0,623301,0,0,102418,0,27417,5445511,116490,1100273,1906184,1238736,7329722,0,0,0,8568458,FALSE
WI,Plover,50305001500000,131438,2020,General Purpose,29460649,9168677,3329945,27016,7695723,8050000,0,1084400,366098,0,823190,6317630,1679649,2424787,10190379,2261813,18350632,2595595,278550,720285,20612445,FALSE
MA,Holyoke,22200700200000,34016,2020,General Purpose,468774740,55512622,14447850,1053069,0,5200000,88040931,0,296501083,0,8019185,13723020,124531407,8233121,75284729,-7451738,229224015,0,0,0,221772277,FALSE
OH,North Dayton School of Discovery,NA,51540,2020,Charter School,2853529,0,147723,0,0,0,2468865,0,236941,143677,0,0,1296759,0,5979831,334788,6941802,4877966,2398624,0,7276590,FALSE
WI,Brookfield,50306800100000,131573,2020,General Purpose,128296826,99823857,9075787,0,0,3010000,0,7430496,11659447,0,4560735,22635153,3580839,6392046,46126125,594934,78139229,0,0,0,78734163,FALSE
AR,Osceola,4204700800000,203830,2020,General Purpose,8759799,5346643,2282485,742223,0,0,0,0,0,0,388448,18404010,37268,1309980,4748361,2332541,22167078,0,0,0,24499619,FALSE
WI,Hayward,50305800500000,131499,2020,General Purpose,1953989,0,216528,0,807500,826555,0,219263,0,0,103406,1692977,443230,1000000,1752393,1349268,3539332,0,0,0,4888600,FALSE
NY,Portland,33300702100000,122570,2020,General Purpose,3423709,2033400,214652,0,0,609310,431900,0,0,0,134447,184681,0,1119656,1447700,250714,2501323,0,0,0,2752037,FALSE
OR,Imbler Rural Fire Protection District,NA,101312,2020,Special District,0,0,0,3758,0,0,0,0,0,0,0,16716,0,0,131373,-44334,192423,0,0,0,148089,FALSE
UT,North Summit Fire Protection District,NA,149003,2020,Special District,29305,0,29305,0,0,0,0,0,0,0,0,10695,100,0,525455,91523,444727,0,0,0,536250,FALSE
AL,Haleyville City Board of Education,NA,30392,2020,School District,31644739,0,1509268,110136,0,89149,14356000,0,6354699,0,0,1600186,12646090,496902,3560471,-118496,18422145,0,0,0,18303649,FALSE
OR,Siletz Area Enhanced Law Enforcement Services District,NA,86883,2020,Special District,0,0,0,0,0,0,0,0,0,0,0,0,154087,0,223694,25467,352314,0,0,0,377781,FALSE
AR,Smackover-Norphlet School District No. 39,NA,145859,2020,School District,36287,8435000,36287,0,0,0,9356506,0,0,0,0,0,0,0,12641009,290,12640719,0,0,0,12641009,FALSE
OR,Yachats Rural Fire Protection District,NA,95690,2020,Special District,9876964,8645104,211543,43996,0,0,902205,0,0,0,33525,0,2500,0,1373848,-191588,1567936,0,0,0,1376348,FALSE
PA,Housing Authority of the County of Cumberland,NA,37771,2020,Special District,1416622,0,445598,909908,0,0,0,0,0,0,24199,0,0,0,0,0,0,11296735,19424,34201,11316159,FALSE
OR,Vernonia Rural Fire Protection District,NA,95678,2020,Special District,338707,330000,0,0,8707,0,0,0,0,0,0,0,0,0,423834,3805,420029,0,0,0,423834,FALSE
GA,Mitchell County Board of Education,NA,197173,2020,School District,46617251,4500000,2359460,7205229,0,0,17750267,0,14802294,0,0,184978,12139056,77220,13670387,2309070,23762571,0,0,0,26071641,FALSE
UT,Mountain Green Sewer Improvement District,NA,102886,2020,Special District,200577,0,185562,0,0,0,15015,0,0,0,0,0,0,0,0,0,0,728294,135195,0,863489,FALSE
UT,Washington County Water Conservancy District,NA,102993,2020,Special District,64250718,56726011,6735400,0,0,0,789307,0,0,0,0,53094156,1062399,0,16175714,51753760,18578509,0,0,0,70332269,FALSE
AZ,Buckeye Union High School District No. 201,NA,30539,2020,School District,119536585,79127777,3215029,31774,0,5000000,29023751,0,2571814,0,566440,4083617,4885072,186735,45918005,-1058434,56131863,0,0,0,55073429,FALSE
UT,Washington County Flood Control Authority,NA,102990,2020,Special District,52063,0,52063,0,0,0,0,0,0,0,0,0,1008015,711639,41384,1348408,412630,0,0,0,1761038,FALSE
AZ,Glendale Union High School District No. 205,NA,30546,2020,School District,289413178,107817629,5542334,9638560,2026000,12000000,120013631,0,26111383,0,6263641,8989898,19736709,2101743,151787768,-4934106,187550224,14374674,393539,0,182616118,FALSE
MI,Baroda-Lake Township Police Department,NA,154688,2020,Special District,181736,0,7481,0,0,0,150219,0,0,0,24036,9775,848306,44433,15817,149139,769192,0,0,0,918331,FALSE
UT,Weber Area Dispatch 911 and Emergency Services District,NA,102995,2020,Special District,8320955,4782000,111057,0,0,0,1000449,0,2185989,0,241461,3627086,112817,0,5137659,995430,7882132,0,0,0,8877562,FALSE
MO,Ozarks Technical Community College,NA,41709,2020,Community College District,78100460,12264076,15808975,0,0,2817535,42469723,0,3213745,0,1526406,0,0,0,0,0,0,82566264,36145432,0,118711696,FALSE
WV,Central West Virginia Regional Airport Authority,NA,44441,2020,Special District,11946845,7254353,3120534,0,0,0,494425,0,814949,0,262584,0,0,0,0,0,0,9890914,20348204,0,30239118,FALSE
WV,Housing Authority of the City of Grafton,NA,89620,2020,Special District,186199,0,170034,0,0,0,0,0,0,0,16165,0,0,0,0,0,0,1099918,2148,872219,1102066,FALSE
WV,Kanawha Valley Regional Transportation Authority,NA,39769,2020,Special District,10670733,0,717019,0,0,0,7797709,0,2156005,0,0,0,0,0,0,0,0,1573416,12919123,0,14492539,FALSE
CA,Belmont Redwood Shores School District,NA,47339,2020,School District,194654886,129415370,10260337,0,0,0,51418963,0,3344500,0,215716,205888,6213391,0,55066195,-3765381,65250855,0,0,0,61485474,FALSE
OH,Bowling Green State University - WBGU-TV,NA,82622,2020,Public Higher Education,2090421,0,960954,0,0,0,596050,0,346890,0,186527,0,0,0,0,0,0,3851421,868925,119914,4720346,FALSE
CA,Mckinleyville Union School District,NA,31148,2020,School District,38425183,23777157,956831,0,187627,0,12370610,0,1074961,0,57997,297864,2661221,0,13708265,2036339,14631011,0,0,0,16667350,FALSE
GA,Warren County Board of Education,NA,197781,2020,School District,16160502,2300000,1243932,0,0,0,7090302,0,5526270,0,0,18904,5961455,0,4800961,328369,10452951,0,0,0,10781320,FALSE
LA,Employees' Retirement System of the City of Baton Rouge and Parish of East Baton Rouge,NA,100883,2020,Special District,574915,0,2110011,0,0,0,584398857,0,3639141,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NE,Wakefield Community School District No. 560,NA,109705,2020,School District,0,0,0,0,460170,0,0,0,0,0,0,79006,862208,82010,6548196,319762,7251658,0,0,0,7571420,FALSE
NE,Oakland-Craig Public Schools District No. 14,NA,108688,2020,School District,0,4625000,0,40562,400000,0,0,0,0,0,0,89381,749148,0,6194093,-407121,7439743,0,0,0,7032622,FALSE
NY,Genesee Community College,NA,35986,2020,Community College District,23471245,0,9800910,28615,0,0,9120826,0,3998511,0,522383,0,0,0,0,0,0,10618217,32528282,779566,43146499,FALSE
CA,Hartnell Community College District,NA,31298,2020,Community College District,325670786,243772273,18103732,0,0,0,61786906,0,1017690,0,990185,0,0,0,0,0,0,29458869,78110123,0,107568992,FALSE
AR,Emerson-Taylor-Bradley School District,NA,51739,2020,School District,13229,8885000,13229,0,0,0,9099474,0,0,0,0,0,0,0,19745947,2787010,16958937,0,0,0,19745947,FALSE
IL,City Colleges of Chicago Community College District No. 508,NA,32969,2020,Community College District,517170969,314797847,60800101,7794593,0,0,0,0,107291401,0,6614430,0,0,0,0,0,0,41194436,444941550,1825038,486135986,FALSE
NE,Ainsworth Community Schools District No. 10,NA,108582,2020,School District,0,0,0,0,0,2144000,0,0,0,0,0,90755,807463,0,7552549,587070,7863697,0,0,0,8450767,FALSE
LA,Southeastern Louisiana Area Health Education Center,NA,76783,2020,School District,4431887,0,951110,0,112127,3368650,0,0,0,0,0,0,23224924,0,2429144,584246,25069822,0,0,0,25654068,FALSE
NE,Boyd County Schools District No. 51,NA,108599,2020,School District,0,0,0,0,0,0,0,0,0,0,0,84737,1286401,0,4970104,370076,5971166,0,0,0,6341242,FALSE
NJ,Lakehurst Borough,31201500700000,121690,2020,General Purpose,21190559,7720000,0,0,2504902,1200000,3658762,0,0,0,41589,0,0,0,8582025,376273,8205752,0,0,0,8582025,FALSE
NE,Meridian Public Schools District No. 303,NA,109300,2020,School District,0,0,0,0,0,0,0,0,0,0,0,37930,381212,0,3614345,60312,3973175,0,0,0,4033487,FALSE
NE,Overton Public Schools District No. 4,NA,108817,2020,School District,0,0,0,0,0,0,0,0,0,0,0,70215,444142,0,4248232,245394,4517195,0,0,0,4762589,FALSE
NE,Loup County School District No. 25,NA,109267,2020,School District,12105,0,12105,12468,0,0,673950,0,0,0,0,14273,187905,0,2273649,77651,2398176,0,0,0,2475827,FALSE
NE,Giltner Public Schools District No. 41,NA,109156,2020,School District,0,585000,0,450,0,0,0,0,0,0,0,56458,294257,0,3731412,370544,3711583,0,0,0,4082127,FALSE
MI,Barton Township,23306200200000,154689,2020,General Purpose,0,0,0,0,0,0,0,0,0,0,0,5996,2108,0,203209,54158,157155,0,0,0,211313,FALSE
MI,Bearinger Township,23307100200000,154697,2020,General Purpose,300,0,300,0,0,0,0,0,0,0,0,115,0,0,139793,4961,134947,0,0,0,139908,FALSE
NE,Cedar Bluffs Public Schools District No. 107,NA,108904,2020,School District,0,265000,0,0,0,0,0,0,0,0,0,65087,860149,0,6699641,706392,6918485,0,0,0,7624877,FALSE
LA,Eleventh and Forty-Second Judicial Districts Indigent Defender Fund,NA,75668,2020,Special District,53565,0,53565,30400,0,0,0,0,0,0,0,268033,572783,0,987,72114,769689,0,0,0,841803,FALSE
NE,Johnson-Brock Public Schools District No. 23,NA,109221,2020,School District,0,135000,0,0,457500,0,0,0,0,0,0,88829,403541,0,4353847,160478,4685739,0,0,0,4846217,FALSE
MI,Beaugrand Township,23301600200000,154698,2020,General Purpose,8136,0,8136,0,0,0,0,0,0,0,0,10338,0,0,200783,34550,176571,0,0,0,211121,FALSE
MO,Macon County R-I School District,NA,35264,2020,School District,6730000,0,0,6730000,0,0,11141023,0,0,0,0,833662,1839087,214636,10751809,-362639,14001833,0,0,0,13639194,FALSE
MO,Morgan County R-I School District,NA,35273,2020,School District,0,0,0,2473599,0,0,0,0,0,0,0,127373,1931988,48845,6469162,413931,8163437,0,0,0,8577368,FALSE
NE,Creighton Public Schools District No. 13,NA,108928,2020,School District,0,0,0,0,0,0,0,0,0,0,0,61339,636741,0,4281153,-288952,5268185,0,0,0,4979233,FALSE
NE,Broken Bow Public Schools District No. 25,NA,108777,2020,School District,0,5830000,0,68353,0,0,0,0,0,0,0,212790,1456902,0,9922565,629249,10963008,0,0,0,11592257,FALSE
IL,Queen Bee School District No. 16,NA,150853,2020,School District,47152493,22616554,3740497,0,685000,0,5320041,0,14543643,0,246758,556249,20928312,0,28840736,2758121,47567176,0,0,0,50325297,FALSE
TX,Bellaire,44210100200000,88079,2020,General Purpose,141147157,121751097,3686211,547561,0,0,11339707,0,2130101,0,1022515,11835279,2872562,0,25701028,-1168490,41577359,0,0,0,40408869,FALSE
MI,Bentley Township,23302600200000,154704,2020,General Purpose,13607,0,13607,0,0,0,0,0,0,0,0,61343,2283,0,184082,70416,177292,0,0,0,247708,FALSE
AR,Alma School District No. 30,NA,223703,2020,School District,0,46935000,0,93626,0,0,24889783,0,0,0,0,0,0,0,58856009,177554,58678455,0,0,0,58856009,FALSE
OH,Life Skills - Lake Erie International High School,NA,83539,2020,School District,1976663,0,154874,9696,0,0,1639274,0,172819,0,0,0,0,0,2699704,76656,2623048,0,0,0,2699704,FALSE
OH,Greater Summit County Early Learning Center Elementary School,NA,83225,2020,School District,4620,0,100,0,0,0,4520,0,0,339,0,0,1073360,124903,20485,105922,1112826,0,0,0,1218748,FALSE
OK,Grant County Educational Facilities Authority,NA,149585,2020,School District,0,4785000,0,0,0,0,0,0,0,0,0,0,0,0,2096,0,2096,0,0,0,2096,FALSE
OK,Guthrie Public Schools-Independent School District No. I-1,NA,147141,2020,School District,15882491,12650000,2521041,711450,0,0,0,0,0,0,0,0,0,0,31099461,-1752333,32851794,0,0,0,31099461,FALSE
OH,Istem Geauga Early College High School,NA,83403,2020,School District,106754,0,106754,0,0,0,0,0,0,0,0,0,0,120037,1412193,-261586,1793816,0,0,0,1532230,FALSE
OH,Earnhart Hill Regional Water Sewer District,NA,100212,2020,Special District,16977075,10850720,199520,0,1785229,821966,1926363,0,1393277,0,0,0,0,0,0,0,0,4974718,101015,638593,5075733,FALSE
OK,Deer Creek Public Schools-ISD No.6,NA,148660,2020,School District,39151865,32485000,6666865,0,0,0,0,0,0,0,0,0,0,0,78707718,579654,78128064,0,0,0,78707718,FALSE
MI,Lamotte Township,23307601400000,155120,2020,General Purpose,0,0,0,0,0,0,0,0,0,0,0,9515,0,0,261121,37796,232840,0,0,0,270636,FALSE
MI,Lilley Township,23306201600000,155133,2020,General Purpose,30611,0,30611,0,0,0,0,0,0,0,0,82399,2516,4100,390907,24455,455467,0,0,0,479922,FALSE
MI,Macon Township,23304601000000,155170,2020,General Purpose,0,0,0,0,0,0,0,0,0,0,0,1650,0,0,224239,60639,165250,0,0,0,225889,FALSE
MI,Medina Township,23304601200000,155199,2020,General Purpose,44543,0,44543,0,0,0,0,0,0,0,0,20563,5062,0,351075,62173,314527,0,0,0,376700,FALSE
MI,Minden Township,23307601900000,155216,2020,General Purpose,1586,0,1586,0,0,0,0,0,0,0,0,9071,0,0,457010,190147,275934,0,0,0,466081,FALSE
MI,Mitchell Township,23300101100000,155217,2020,General Purpose,20758,0,5758,0,15000,0,0,0,0,0,0,4950,14360,0,148780,-16494,184584,0,0,0,168090,FALSE
MI,Moffatt Township,23300600800000,155218,2020,General Purpose,22698,0,22698,0,0,0,0,0,0,0,0,18217,0,0,415256,-129647,563120,0,0,0,433473,FALSE
MI,Sumner Township,NA,155490,2020,General Purpose,9736,0,9736,0,0,0,0,0,0,0,0,13895,3804,0,365332,-4571,387602,0,0,0,383031,FALSE
MI,Turner Township,NA,155510,2020,General Purpose,0,0,0,0,0,0,0,0,0,0,0,3628361,1350000,0,12349568,3463761,13864168,0,0,0,17327929,FALSE
FL,St Augustine-St Johns County-Airport Authority,10405570100000,65352,2020,Special District,2100615,0,901938,0,0,0,1096599,0,0,0,102078,0,0,0,0,0,0,4454174,213161,4806212,4667335,FALSE
IL,Barclay Public Library District,14405820300000,71254,2020,Special District,1140,0,1140,0,0,0,0,10769,0,0,0,1074,59491,0,285712,76782,269495,0,0,0,346277,FALSE
MI,Foster Township,23306500400000,154948,2020,General Purpose,5672,0,5672,0,0,0,0,0,0,0,0,47268,366,0,269643,48351,268926,0,0,0,317277,FALSE
MI,Nahma Township,NA,155236,2020,General Purpose,217367,215000,2367,0,0,0,0,0,0,0,0,44984,80390,0,135795,57031,204138,0,0,0,261169,FALSE
MI,Novi Township,NA,155297,2020,General Purpose,0,0,0,0,0,0,0,0,0,0,0,3162682,0,0,4206127,1513515,5855294,0,0,0,7368809,FALSE
MI,Newark Township,NA,155259,2020,General Purpose,2941,0,2941,0,0,0,0,0,0,0,0,1600,4503,0,240747,31891,214959,0,0,0,246850,FALSE
MI,Paris Township,NA,155341,2020,General Purpose,311,0,311,0,0,0,0,0,0,0,0,0,0,0,199794,47699,152095,0,0,0,199794,FALSE
MI,Reno Township,NA,155398,2020,General Purpose,2599,0,2599,0,0,0,0,0,0,0,0,658,0,2180,85279,-1878,89995,0,0,0,88117,FALSE
MI,Readmond Township,NA,155393,2020,General Purpose,343139,0,8835,0,0,0,0,0,0,0,0,3650,0,0,212113,29649,186114,0,0,0,215763,FALSE
MI,Orient Township,NA,155308,2020,General Purpose,4099,0,4099,0,0,0,0,0,0,0,0,2607,44918,0,145761,39098,154188,0,0,0,193286,FALSE
MI,Resort Township,NA,155399,2020,General Purpose,11763,0,11763,0,0,0,0,0,0,0,0,7420,18839,0,1283998,-122137,1432394,0,0,0,1310257,FALSE
MI,Redding Township,NA,155394,2020,General Purpose,5483,0,5483,0,0,0,0,0,0,0,0,2460,21298,0,103282,5793,121247,0,0,0,127040,FALSE
MA,Roxbury Community College,NA,55562,2020,Community College District,13954691,0,3034093,0,0,9280097,25688,0,48440,0,1343244,0,0,0,0,0,0,10508131,17612033,4599948,28120164,FALSE
MI,Norwood Township,NA,155290,2020,General Purpose,48332,0,6320,0,0,42012,0,0,0,0,0,1975,0,0,253510,107350,148135,0,0,0,255485,FALSE
MI,Vienna Township,NA,155522,2020,General Purpose,3583,0,3583,0,0,0,0,0,0,0,0,20997,6159,0,254541,68516,213181,0,0,0,281697,FALSE
CA,Humboldt State University,NA,159903,2020,Public Higher Education,9989070,0,9062930,0,0,0,0,0,0,0,327225,0,0,0,0,0,0,34924512,10406,0,34934918,FALSE
AZ,Kaibab Band of Paiute Indians,NA,30617,2020,Special District,4010717,0,4009181,0,1536,0,0,0,0,0,0,2222833,3197830,1025494,7757336,3796006,10407487,0,0,0,14203493,FALSE
CA,Alameda Corridor Transportation Authority,5401931200000,40654,2020,Special District,2225312612,2203738506,6845076,0,0,0,2116034,0,0,490343,0,0,0,0,0,0,0,108667797,8711524,0,117379321,FALSE
TX,Rio Grande City,44221420100000,130240,2020,General Purpose,44351477,36957818,2440713,333100,0,0,598743,0,220849,0,217869,6056274,2805697,0,8731558,3631926,13961603,0,0,0,17593529,FALSE
MI,Benton Charter Township,NA,154723,2020,General Purpose,30174751,18534452,1220594,0,189026,0,8441104,0,1145355,0,644220,8833856,410975,38079,7952229,3551878,13683261,0,0,0,17235139,FALSE
OH,Rio Grande Community College,NA,84233,2020,Community College District,2131932,0,611794,0,0,0,795621,0,517795,0,206722,0,0,0,0,0,0,7849722,6724828,194180,14574550,FALSE
