"","ncesID","nces_original_name","county_name","city","state","students","id"
"132","0806480","School District No. 3 in the county of El Paso and State of","El Paso County","COLORADO SPRINGS","CO",9669,NA
"133","1603240","TWIN FALLS DISTRICT","Twin Falls County","TWIN FALLS","ID",9654,NA
"134","2509870","Quincy","Norfolk County","Quincy","MA",9625,NA
"135","0901530","Fairfield School District","Fairfield County","Fairfield","CT",9624,NA
"136","1805450","Lake Central School Corporation","Lake County","Saint John","IN",9587,NA
"137","3410110","MIDDLETOWN TOWNSHIP PUBLIC SCHOOL DISTRICT","Monmouth County","Middletown","NJ",9587,NA
"138","5100360","BEDFORD CO PBLC SCHS","Bedford County","Bedford","VA",9555,NA
"139","1801020","Brownsburg Community School Corp","Hendricks County","Brownsburg","IN",9453,NA
"140","0904920","West Hartford School District","Hartford County","West Hartford","CT",9437,NA
"141","0101020","Cullman County","Cullman County","Cullman","AL",9349,NA
"142","2504980","Framingham","Middlesex County","Framingham","MA",9088,NA
"143","0636390","Sequoia Union High","San Mateo County","Redwood City","CA",9052,NA
"144","2718780","MANKATO PUBLIC SCHOOL DISTRICT","Blue Earth County","MANKATO","MN",9021,NA
"145","0901710","Greenwich School District","Fairfield County","Granby","CT",9015,NA
"146","3602460","ALBANY CITY SCHOOL DISTRICT","Albany County","ALBANY","NY",8904,NA
"147","1303510","Marietta City","Cobb County","Marietta","GA",8877,NA
"148","1801440","Center Grove Community School Corp","Johnson County","Greenwood","IN",8876,NA
"149","2714220","EDEN PRAIRIE PUBLIC SCHOOL DISTRICT","Hennepin County","EDEN PRAIRIE","MN",8826,NA
"150","1802490","Crown Point Community School Corp","Lake County","Crown Point","IN",8795,NA
"151","4400840","Pawtucket","Providence County","Pawtucket","RI",8784,NA
"152","5102940","PITTSYLVANIA CO PBLC SCHS","Pittsylvania County","Chatham","VA",8723,NA
"153","4401110","Warwick","Kent County","Warwick","RI",8610,NA
"154","2926070","RAYTOWN C-2","Jackson County","RAYTOWN","MO",8552,NA
"155","2201830","Vernon Parish","Vernon Parish","Leesville","LA",8541,NA
"156","0804080","Fountain School District No. 8 in the county of El Paso an","El Paso County","FOUNTAIN","CO",8529,NA
"157","5101050","CULPEPER CO PBLC SCHS","Culpeper County","Culpeper","VA",8516,NA
"158","2711250","EDINA PUBLIC SCHOOL DISTRICT","Hennepin County","EDINA","MN",8445,NA
"159","3409270","Old Bridge Township School District","Middlesex County","Matawan","NJ",8420,NA
"160","4503840","York 02","York County","Clover","SC",8295,NA
"161","5102340","LYNCHBURG CITY PBLC SCHS","Lynchburg city","Lynchburg","VA",8197,NA
"162","1000180","Caesar Rodney School District","Kent County","Wyoming","DE",8183,NA
"163","0902400","Meriden School District","New Haven County","Meriden","CT",8117,NA
"164","4702130","Johnson City","Washington County","Johnson City","TN",8098,NA
"165","2505970","Haverhill","Essex County","Haverhill","MA",8063,NA
"166","1805400","Lafayette School Corporation","Tippecanoe County","Lafayette","IN",8060,NA
"167","2511520","Taunton","Bristol County","Taunton","MA",8036,NA
"168","5100600","CAMPBELL CO PBLC SCHS","Campbell County","Rustburg","VA",7921,NA
"169","0900510","Bristol School District","Hartford County","Bristol","CT",7858,NA
"170","1808250","Northwest Allen County Schools","Allen County","Fort Wayne","IN",7857,NA
"171","5102360","MANASSAS CITY PBLC SCHS","Manassas city","Manassas","VA",7789,NA
"172","2503150","Brookline","Norfolk County","Brookline","MA",7777,NA
"173","2400540","Queen Anne's County Public Schools","Queen Anne's County","Centreville","MD",7764,NA
"174","1800030","MSD SOUTHWEST ALLEN COUNTY SCHLS","Allen County","Fort Wayne","IN",7685,NA
"175","1714460","Evanston CCSD 65","Cook County","Evanston","IL",7681,NA
"176","0641580","Washington Unified","Yolo County","West Sacramento","CA",7646,NA
"177","2510050","Revere","Suffolk County","Revere","MA",7532,NA
"178","3407230","Hillsborough Township Public School District","Somerset County","Hillsborough","NJ",7489,NA
"179","4110350","Redmond SD 2J","Deschutes County","Redmond","OR",7470,NA
"180","2005490","De Soto","Johnson County","De Soto","KS",7467,NA
"181","1802830","Zionsville Community Schools","Boone County","Zionsville","IN",7435,NA
"182","5101920","HENRY CO PBLC SCHS","Henry County","Collinsville","VA",7381,NA
"183","3415330","South Orange-Maplewood School District","Essex County","Maplewood","NJ",7353,NA
"184","1809150","Portage Township Schools","Porter County","Portage","IN",7349,NA
"185","2509720","Plymouth","Plymouth County","Plymouth","MA",7333,NA
"186","2503660","Chicopee","Hampden County","Chicopee","MA",7268,NA
"187","2918690","LINDBERGH SCHOOLS","St. Louis County","St. Louis","MO",7236,NA
"188","2506840","Lexington","Middlesex County","Lexington","MA",7190,NA
"189","4107230","Lake Oswego SD 7J","Clackamas County","Lake Oswego","OR",7106,NA
"190","2503270","Cambridge","Middlesex County","Cambridge","MA",7091,NA
"191","2504770","Everett","Middlesex County","Everett","MA",7057,NA
"192","5103900","WASHINGTON CO PBLC SCHS","Washington County","Abingdon","VA",7050,NA
"193","1801890","Clark-Pleasant Community Sch Corp","Johnson County","Whiteland","IN",6979,NA
"194","2714260","HOPKINS PUBLIC SCHOOL DISTRICT","Hennepin County","HOPKINS","MN",6974,NA
"195","1812420","Warsaw Community Schools","Kosciusko County","Warsaw","IN",6957,NA
"196","3410500","Monroe Township School District","Middlesex County","MONROE TOWNSHIP","NJ",6895,NA
"197","4009570","DEER CREEK","Oklahoma County","Edmond","OK",6872,NA
"198","2507740","Methuen","Essex County","Methuen","MA",6851,NA
"199","1802640","MSD DECATUR TOWNSHIP","Marion County","Indianapolis","IN",6825,NA
"200","0612070","El Dorado Union High","El Dorado County","Placerville","CA",6814,NA
"201","1800150","Anderson Community School Corp","Madison County","Anderson","IN",6811,NA
"202","0904440","Stratford School District","Fairfield County","Stratford","CT",6795,NA
"203","0904620","Trumbull School District","Fairfield County","Trumbull","CT",6787,NA
"204","2706090","BRAINERD PUBLIC SCHOOL DISTRICT","Crow Wing County","BRAINERD","MN",6782,NA
"205","2309930","Portland Public Schools","Cumberland County","Portland","ME",6779,NA
"206","0901260","East Hartford School District","Hartford County","East Hartford","CT",6767,NA
"207","4103480","Corvallis SD 509J","Benton County","Corvallis","OR",6748,NA
"208","1803930","Goshen Community Schools","Elkhart County","Goshen","IN",6622,NA
"209","4211580","Harrisburg City SD","Dauphin County","Harrisburg","PA",6622,NA
"210","5101860","HARRISONBURG CITY PBLC SCHS","Harrisonburg city","Harrisonburg","VA",6611,NA
"211","2930450","TROY R-III","Lincoln County","TROY","MO",6565,NA
"212","1805580","LaPorte Community School Corp","LaPorte County","LaPorte","IN",6497,NA
"213","1000190","Capital School District","Kent County","Dover","DE",6491,NA
"214","2507170","Malden","Middlesex County","Malden","MA",6481,NA
"215","2922530","Nixa Public Schools","Christian County","NIXA","MO",6476,NA
"216","2923730","RAYMORE-PECULIAR R-II","Cass County","PECULIAR","MO",6460,NA
"217","4226820","York City SD","York County","York","PA",6389,NA
"218","5103090","PRINCE GEORGE CO PBLC SCHS","Prince George County","Prince George","VA",6353,NA
"219","1809690","Merrillville Community School Corp","Lake County","Merrillville","IN",6336,NA
"220","0904230","Southington School District","Hartford County","Southington","CT",6298,NA
"221","1811970","Valparaiso Community Schools","Porter County","Valparaiso","IN",6278,NA
"222","1734410","Rock Island SD 41","Rock Island County","Rock Island","IL",6277,NA
"223","2510770","Shrewsbury","Worcester County","Shrewsbury","MA",6268,NA
"224","0902310","Manchester School District","Hartford County","Manchester","CT",6262,NA
"225","2503540","Chelsea","Suffolk County","Chelsea","MA",6255,NA
"226","3904993","Plain Local","Stark County","Canton","OH",6245,NA
"227","2922890","NORTHWEST R-I","Jefferson County","House Springs","MO",6216,NA
"228","2916770","KIRKWOOD R-VII","St. Louis County","KIRKWOOD","MO",6215,NA
"229","0805790","Montrose County School District Re-1J","Montrose County","MONTROSE","CO",6215,NA
"230","2923700","PATTONVILLE R-III","St. Louis County","ST ANN","MO",6213,NA
"231","2733330","SPRING LAKE PARK PUBLIC SCHOOLS","Anoka County","SPRING LAKE PARK","MN",6197,NA
"232","2931440","WAYNESVILLE R-VI","Pulaski County","WAYNESVILLE","MO",6151,NA
"233","4102800","Centennial SD 28J","Multnomah County","Portland","OR",6095,NA
"234","2506780","Leominster","Worcester County","Leominster","MA",6078,NA
"235","2501980","Arlington","Middlesex County","Arlington","MA",6047,NA
"236","4401200","Woonsocket","Providence County","Woonsocket","RI",6027,NA
"237","5103510","SHENANDOAH CO PBLC SCHS","Shenandoah County","Woodstock","VA",6002,NA
"238","2509360","Peabody","Essex County","Peabody","MA",5994,NA
"239","2502190","Attleboro","Bristol County","Attleboro","MA",5982,NA
"240","2201890","Webster Parish","Webster Parish","Minden","LA",5941,NA
"241","2201530","St. John the Baptist Parish","St. John the Baptist Parish","Reserve","LA",5918,NA
"242","2923430","OZARK R-VI","Christian County","OZARK","MO",5913,NA
"243","1001620","Smyrna School District","Kent County","Smyrna","DE",5882,NA
"244","3904697","Groveport Madison Local","Franklin County","Groveport","OH",5875,NA
"245","1301680","City Schools of Decatur","DeKalb County","Decatur","GA",5874,NA
"246","0618870","Jefferson Elementary","San Mateo County","Daly City","CA",5862,NA
"247","1000170","Cape Henlopen School District","Sussex County","Lewes","DE",5860,NA
"248","2501950","Andover","Essex County","Andover","MA",5856,NA
"249","0901620","Glastonbury School District","Hartford County","Glastonbury","CT",5814,NA
"250","3412270","ORANGE BOARD OF EDUCATION School District","Essex County","ORANGE","NJ",5802,NA
"251","2502940","Braintree","Norfolk County","Braintree","MA",5795,NA
"252","3406270","Hackensack School District","Bergen County","Hackensack","NJ",5790,NA
"253","2512840","Weymouth","Norfolk County","Weymouth","MA",5763,NA
"254","0904950","West Haven School District","New Haven County","West Haven","CT",5756,NA
"255","4106300","Hermiston SD 8","Umatilla County","Hermiston","OR",5740,NA
"256","2512000","Waltham","Middlesex County","Waltham","MA",5738,NA
"257","2508370","Needham","Norfolk County","Needham","MA",5706,NA
"258","0639930","Tulare Joint Union High","Tulare County","Tulare","CA",5686,NA
"259","0904740","Wallingford School District","New Haven County","Wallingford","CT",5649,NA
"260","5104080","WISE CO PBLC SCHS","Wise County","Wise","VA",5631,NA
"261","5102010","ISLE OF WIGHT CO PBLC SCHS","Isle of Wight County","Smithfield","VA",5630,NA
"262","5103810","TAZEWELL CO PBLC SCHS","Tazewell County","Tazewell","VA",5585,NA
"263","0902520","Milford School District","New Haven County","Milford","CT",5583,NA
"264","2914340","HICKMAN MILLS C-1","Jackson County","KANSAS CITY","MO",5543,NA
"265","2508340","Natick","Middlesex County","Natick","MA",5529,NA
"266","4211760","Hempfield Area SD","Westmoreland County","Greensburg","PA",5516,NA
"267","7800002","Saint Croix School District","St. Croix Island","Saint Croix","VI",5492,NA
"268","1806570","Michigan City Area Schools","LaPorte County","Michigan City","IN",5474,NA
"269","3003900","Billings H S","Yellowstone County","Billings","MT",5473,NA
"270","2307320","Lewiston Public Schools","Androscoggin County","Lewiston","ME",5449,NA
"271","2915600","JACKSON R-II","Cape Girardeau County","JACKSON","MO",5430,NA
"272","7800030","Saint Thomas - Saint John School District","St. Thomas Island","Saint Thomas","VI",5415,NA
"273","0901860","Hamden School District","New Haven County","Hamden","CT",5408,NA
"274","2503030","Bridgewater-Raynham","Plymouth County","Bridgewater","MA",5392,NA
"275","5103870","WARREN CO PBLC SCHS","Warren County","Front Royal","VA",5372,NA
"276","2506270","Holyoke","Hampden County","Holyoke","MA",5350,NA
"277","2504890","Fitchburg","Worcester County","Fitchburg","MA",5338,NA
"278","3000005","Helena Elem","Lewis and Clark County","Helena","MT",5338,NA
"279","0905040","Westport School District","Fairfield County","Westport","CT",5312,NA
"280","5101620","GLOUCESTER CO PBLC SCHS","Gloucester County","Gloucester","VA",5306,NA
"281","0630250","Petaluma Joint Union High","Sonoma County","Petaluma","CA",5296,NA
"282","2704440","BEMIDJI PUBLIC SCHOOL DISTRICT","Beltrami County","BEMIDJI","MN",5290,NA
"283","4111290","Sherwood SD 88J","Washington County","Sherwood","OR",5273,NA
"284","2509630","Pittsfield","Berkshire County","Pittsfield","MA",5261,NA
"285","2512630","Westfield","Hampden County","Westfield","MA",5261,NA
"286","4400330","East Providence","Providence County","East Providence","RI",5251,NA
"287","2925450","POPLAR BLUFF R-I","Butler County","POPLAR BLUFF","MO",5244,NA
"288","1810080","Seymour Community Schools","Jackson County","Seymour","IN",5229,NA
"289","1713320","East St Louis SD 189","St. Clair County","East Saint Louis","IL",5209,NA
"290","5100060","ACCOMACK CO PBLC SCHS","Accomack County","Accomac","VA",5161,NA
"291","2907460","CARTHAGE R-IX","Jasper County","CARTHAGE","MO",5152,NA
"292","1200002","FL VIRTUAL","Orange County","ORLANDO","FL",5130,NA
"293","1804710","Huntington Co Com Sch Corp","Huntington County","Warren","IN",5089,NA
"294","5102820","ORANGE CO PBLC SCHS","Orange County","Orange","VA",5089,NA
"295","2505010","Franklin","Norfolk County","Franklin","MA",5068,NA
"296","2926220","REPUBLIC R-III","Greene County","REPUBLIC","MO",5062,NA
"297","2912290","FORT OSAGE R-I","Jackson County","INDEPENDENCE","MO",5042,NA
"298","2502310","Barnstable","Barnstable County","Hyannis","MA",5041,NA
"299","2928920","ST. CHARLES R-VI","St. Charles County","ST CHARLES","MO",5039,NA
"300","0803330","Delta County Joint District No. 50","Delta County","DELTA","CO",5032,NA
"301","2503510","Chelmsford","Middlesex County","Chelmsford","MA",5021,NA
"302","0901470","Enfield School District","Hartford County","Enfield","CT",5015,NA
"303","5102280","LOUISA CO PBLC SCHS","Louisa County","Mineral","VA",4987,NA
"304","2510890","Somerville","Middlesex County","Somerville","MA",4939,NA
"305","2512660","Westford","Middlesex County","Westford","MA",4928,NA
"306","0635810","Santa Rosa Elementary","Sonoma County","Santa Rosa","CA",4903,NA
"307","5101770","HALIFAX CO PBLC SCHS","Halifax County","Halifax","VA",4896,NA
"308","3170710","FREMONT PUBLIC SCHOOLS","Dodge County","FREMONT","NE",4869,NA
"309","4102940","Central Point SD 6","Jackson County","Central Point","OR",4863,NA
"310","2512270","Wellesley","Norfolk County","Wellesley","MA",4862,NA
"311","1803870","Gary Community School Corp","Lake County","Gary","IN",4850,NA
"312","4108720","Newberg SD 29J","Yamhill County","Newberg","OR",4830,NA
"313","2502670","Billerica","Middlesex County","Billerica","MA",4797,NA
"314","4846500","WYLIE ISD","Taylor County","ABILENE","TX",4783,NA
"315","4703240","Oak Ridge","Anderson County","Oak Ridge","TN",4775,NA
"316","2507320","Marlborough","Middlesex County","Marlborough","MA",4757,NA
"317","0901050","Darien School District","Fairfield County","Darien","CT",4737,NA
"318","2921810","NEOSHO SCHOOL DISTRICT","Newton County","NEOSHO","MO",4727,NA
"319","0200210","Juneau Borough School District","Juneau City and Borough","Juneau","AK",4725,NA
"320","2502490","Belmont","Middlesex County","Belmont","MA",4700,NA
"321","2502640","Beverly","Essex County","Beverly","MA",4700,NA
"322","2005940","Emporia","Lyon County","Emporia","KS",4685,NA
"323","2931530","WEBSTER GROVES","St. Louis County","WEBSTER GROVES","MO",4681,NA
"324","0903810","Ridgefield School District","Fairfield County","Ridgefield","CT",4679,NA
"325","2513110","Winchester","Middlesex County","Winchester","MA",4678,NA
"326","5100420","BOTETOURT CO PBLC SCHS","Botetourt County","Fincastle","VA",4672,NA
"327","1807860","North Lawrence Com Schools","Lawrence County","Bedford","IN",4670,NA
"328","4400270","Cumberland","Providence County","Cumberland","RI",4668,NA
"329","2508700","North Andover","Essex County","North Andover","MA",4667,NA
"330","0904050","Shelton School District","Fairfield County","Shelton","CT",4654,NA
"331","1001280","New Castle County Vocational-Technical School District","New Castle County","Wilmington","DE",4615,NA
"332","2931500","WEBB CITY R-VII","Jasper County","WEBB CITY","MO",4613,NA
"333","2932010","WILLARD R-II","Greene County","WILLARD","MO",4613,NA
"334","2918270","LEBANON R-III","Laclede County","LEBANON","MO",4575,NA
"335","0635600","Santa Cruz City High","Santa Cruz County","Santa Cruz","CA",4574,NA
"336","1716920","Glenview CCSD 34","Cook County","Glenview","IL",4565,NA
"337","2636540","Wyandotte School District of the City of","Wayne County","WYANDOTTE","MI",4562,NA
"338","4400210","Coventry","Kent County","Coventry","RI",4548,NA
"339","0902490","Middletown School District","Middlesex County","Middletown","CT",4548,NA
"340","5100780","CHARLOTTESVILLE CTY PBLC SCHS","Charlottesville city","Charlottesville","VA",4542,NA
"341","0904170","South Windsor School District","Hartford County","South Windsor","CT",4536,NA
"342","5102100","KING GEO CO PBLC SCHS","King George County","King George","VA",4518,NA
"343","3617670","LOCKPORT CITY SCHOOL DISTRICT","Niagara County","LOCKPORT","NY",4512,NA
"344","1804050","Greenfield-Central Com Schools","Hancock County","Greenfield","IN",4498,NA
"345","4108100","Santiam Canyon SD 129J","Linn County","Mill City","OR",4454,NA
"346","2513200","Woburn","Middlesex County","Woburn","MA",4451,NA
"347","0607950","Central Elementary","San Bernardino County","Rancho Cucamonga","CA",4449,NA
