"","state","nces_original_name","ncesID","students"
"60","AZ","Dennehotso Boarding School","5900099",150
"61","AZ","Dishchii'bikoh Community School","5900145",554
"62","AZ","Double Adobe Elementary District (4179)","0402490",35
"63","AZ","Duncan Unified District (4228)","0402600",390
"64","AZ","Elfrida Elementary District (4185)","0402760",109
"65","AZ","First Mesa Elementary School","5900121",133
"66","AZ","Fredonia-Moccasin Unified District (4195)","0403080",217
"67","AZ","Gila County Regional School District (87600)","0400419",16
"68","AZ","Graham County Special Services (4217)","0402480",95
"69","AZ","Greasewood Springs Community School Inc","5900182",144
"70","AZ","Greyhills Academy High School","5900133",253
"71","AZ","Hackberry School District (4371)","0403660",29
"72","AZ","Havasupai Elementary School","5900165",71
"73","AZ","Hayden-Winkelman Unified District (4212)","0403730",298
"74","AZ","Hillside Elementary District (4482)","0408460",2
"75","AZ","Hopi Day School","5900029",132
"76","AZ","Hopi Jr/Sr High School","5900072",431
"77","AZ","Hunters Point Boarding School","5900049",139
"78","AZ","Hyder Elementary District (4502)","0403900",112
"79","AZ","Jeehdeez'a Elementary School","5900079",120
"80","AZ","John F. Kennedy Day School","5900076",212
"81","AZ","Joseph City Unified District (4388)","0404010",469
"82","AZ","Kaibeto Boarding School","5900180",234
"83","AZ","KAYENTA COMMUNITY SCHOOL","5900063",295
"84","AZ","Keams Canyon Elementary School","5900175",128
"85","AZ","Kin Dah Lichi'i Olta","5900109",118
"86","AZ","Kirkland Elementary District (4480)","0404170",72
"87","AZ","Leupp School Inc.","5900110",113
"88","AZ","Little Singer Community School","5900159",70
"89","AZ","Littlefield Unified District (4374)","0404410",378
"90","AZ","Lukachukai Community School","5900112",278
"91","AZ","Maine Consolidated School District (4199)","0404530",128
"92","AZ","Many Farms High School","5900161",332
"93","AZ","Maricopa County Detention Education Center (1000313)","0400986",72
"94","AZ","Maricopa County Sheriffs Office (79540)","0400459",80
"95","AZ","Mary C O'Brien Accommodation District (4435)","0402740",214
"96","AZ","McNeal Elementary District (4181)","0404920",53
"97","AZ","Mobile Elementary District (4253)","0405100",24
"98","AZ","Moencopi Day School","5900040",81
"99","AZ","Mohawk Valley Elementary District (4503)","0405220",141
"100","AZ","Morristown Elementary District (4251)","0405340",102
"101","AZ","Naco Elementary District (4176)","0405430",315
"102","AZ","Navajo County Accommodation District #99 (4386)","0405500",21
"103","AZ","Oracle Elementary District (4444)","0405640",79
"104","AZ","Owens School District No.6 (4373)","0405730",15
"105","AZ","Palo Verde Elementary District (4275)","0405850",458
"106","AZ","Paloma School District (4255)","0408430",128
"107","AZ","Patagonia Elementary District (4460)","0406000",104
"108","AZ","Patagonia Union High School District (4462)","0406030",80
"109","AZ","Pearce Elementary District (4186)","0406150",129
"110","AZ","Picacho Elementary District (4452)","0406360",202
"111","AZ","Pima Accommodation District (4401)","0405360",85
"112","AZ","Pine Springs Day School","5900152",61
"113","AZ","Pine Strawberry Elementary District (4214)","0406510",126
"114","AZ","Pomerene Elementary District (4188)","0406630",113
"115","AZ","Quartzsite Elementary District (4511)","0406780",182
"116","AZ","Ray Unified District (4438)","0406850",407
"117","AZ","RED ROCK DAY SCHOOL","5900035",110
"118","AZ","Red Rock Elementary District (4447)","0406900",392
"119","AZ","Rock Point Community School","5900122",389
"120","AZ","Rocky Ridge Boarding School","5900089",87
"121","AZ","Rough Rock Community School","5900171",128
"122","AZ","Safford Unified District (4218)","0407240",3111
"123","AZ","Salome Consolidated Elementary District (4514)","0400005",118
"124","AZ","Salt River Elementary School","5900120",303
"125","AZ","San Fernando Elementary District (4414)","0407380",16
"126","AZ","San Simon School","5900156",292
"127","AZ","San Simon Unified District (4172)","0407430",125
"128","AZ","Santa Cruz Elementary District (4459)","0407500",198
"129","AZ","Santa Cruz Valley Union High School District (4454)","0407530",367
"130","AZ","Santa Rosa Day School","5900030",115
"131","AZ","Santa Rosa Ranch School","5900086",80
"132","AZ","Seba Dalkai Boarding School","5900193",65
"133","AZ","Second Mesa Day School","5900082",196
"134","AZ","Seligman Unified District (4472)","0407630",119
"135","AZ","Sentinel Elementary District (4250)","0407680",34
"136","AZ","Shonto Preparatory School","5900128",350
"137","AZ","Skull Valley Elementary District (4478)","0407770",23
"138","AZ","Solomon Elementary District (4222)","0407860",197
"139","AZ","Sonoita Elementary District (4461)","0407920",132
"140","AZ","St David Unified District (4173)","0408020",394
"141","AZ","St Johns Unified District (4153)","0408080",880
"142","AZ","Superior Unified School District (4440)","0408230",331
"143","AZ","T'iis Nazbas Community School","5900168",124
"144","AZ","TOHONO O'ODHAM HIGH SCHOOL","5900169",89
"145","AZ","Toltec School District (4450)","0408550",1038
"146","AZ","Tonalea Day School","5900170",157
"147","AZ","Tonto Basin Elementary District (4215)","0405760",70
"148","AZ","Topock Elementary District (4376)","0408640",142
"149","AZ","Tuba City Unified School District #15 (4197)","0408680",1532
"150","AZ","Valentine Elementary District (4380)","0408880",93
"151","AZ","Valley Union High School District (4190)","0408910",128
"152","AZ","Vernon Elementary District (4162)","0400022",128
"153","AZ","Wellton Elementary District (4504)","0409090",189
"154","AZ","Wenden Elementary District (4512)","0409120",100
"155","AZ","Wide Ruins Community School","5900062",88
"156","AZ","Yarnell Elementary District (4485)","0409510",37
"157","AZ","Yavapai Accommodation School District (79379)","0400315",104
"158","AZ","Yavapai County Juvenile Justice Center (79533)","0400460",19
"159","AZ","Young Elementary District (4213)","0409540",43
"160","AZ","Yucca Elementary District (4377)","0409570",29
"161","AZ","Yuma County Sheriff's Office (79472)","0400773",1
"162","CA","Alview-Dairyland Union Elementary","0602360",385
"163","CA","Amador County Unified","0602450",3958
"164","CA","Arena Union Elementary","0603090",232
"165","CA","Ballico-Cressey Elementary","0603750",383
"166","CA","Beardsley Elementary","0604260",2010
"167","CA","Big Pine Unified","0604950",150
"168","CA","Bitterwater-Tully Elementary","0605190",40
"169","CA","Bolinas-Stinson Union","0605520",90
"170","CA","Buena Vista Elementary","0606420",208
"171","CA","Butteville Union Elementary","0606690",182
"172","CA","CA Sch for the Deaf-Riverside (State Special Schl)","0600007",337
"173","CA","California Education Authority (CEA) Headquarters","0601422",305
"174","CA","California School for the Blind (State Special Schl)","0600002",64
"175","CA","California School for the Deaf-Fremont (State Special Schl)","0600003",350
"176","CA","Clay Joint Elementary","0608850",246
"177","CA","Cutler-Orosi Joint Unified","0610350",4123
"178","CA","Dehesa Elementary","0610710",155
"179","CA","Del Norte County Office of Education","0691063",346
"180","CA","El Dorado County Office of Education","0691006",890
"181","CA","El Segundo Unified","0612210",3502
"182","CA","Flournoy Union Elementary","0613860",30
"183","CA","Fresno County Office of Education","0691007",870
"184","CA","Greenfield Union","0616050",9643
"185","CA","Happy Camp Union Elementary","0616530",128
"186","CA","Hart-Ransom Union Elementary","0616650",1207
"187","CA","Hope Elementary","0617490",932
"188","CA","Hughes-Elizabeth Lakes Union Elementary","0617880",179
"189","CA","Igo Ono Platina Union Elementary","0618160",35
"190","CA","Inyo County Office of Education","0691011",14
"191","CA","Jamul-Dulzura Union Elementary","0618730",576
"192","CA","Jefferson Elementary","0618810",5
"193","CA","Jefferson Elementary","0618870",5862
"194","CA","Julian Union High","0619110",108
"195","CA","Junction City Elementary","0619170",78
"196","CA","Junction Elementary","0619230",18
"197","CA","La Honda-Pescadero Unified","0620220",306
"198","CA","Lakeside Joint","0620700",74
"199","CA","Lakeside Union","0620730",1450
"200","CA","Lakeside Union Elementary","0620760",326
"201","CA","Latrobe","0621180",147
"202","CA","Linns Valley-Poso Flat Union","0621900",17
"203","CA","Madera County Superintendent of Schools","0691017",801
"204","CA","Magnolia Union Elementary","0623460",131
"205","CA","Modesto City Elementary","0625130",14604
"206","CA","Modesto City High","0625150",15160
"207","CA","Mountain View Elementary","0626190",6131
"208","CA","Mt. Baldy Joint Elementary","0626340",109
"209","CA","Mt. Shasta Union Elementary","0626040",554
"210","CA","New Hope Elementary","0626970",185
"211","CA","Newcastle Elementary","0627120",473
"212","CA","Noli School","5900197",123
"213","CA","North Cow Creek Elementary","0627510",258
"214","CA","Oak Grove Union Elementary","0627840",878
"215","CA","Ocean View","0628140",7721
"216","CA","Pacific Union Elementary","0629430",621
"217","CA","Peninsula Union","0630090",44
"218","CA","Petaluma Joint Union High","0630250",5296
"219","CA","Pioneer Union Elementary","0630520",56
"220","CA","Placerville Union Elementary","0630780",1315
"221","CA","Pleasant Grove Joint Union","0630900",165
"222","CA","Pleasant Valley Joint Union Elementary","0631020",60
"223","CA","Plumas Unified","0631170",1860
"224","CA","Point Arena Joint Union High","0631230",149
"225","CA","Porterville Unified","0600064",14514
"226","CA","Ravenswood City Elementary","0631860",2061
"227","CA","Raymond-Knowles Union Elementary","0631920",76
"228","CA","Rio Bravo-Greeley Union Elementary","0632710",1070
"229","CA","Round Valley Joint Elementary","0633690",78
"230","CA","San Carlos Elementary","0634290",3021
"231","CA","San Francisco County Office of Education","0691111",327
"232","CA","San Mateo-Foster City","0634920",11576
"233","CA","Santa Clara Elementary","0635490",57
"234","CA","Santa Cruz City High","0635600",4574
"235","CA","Santa Rosa High","0635830",10941
"236","CA","Sausalito Marin City","0636000",108
"237","CA","Sequoia Union Elementary","0636360",348
"238","CA","Sherman Indian High School","5900105",419
"239","CA","Sierra-Plumas Joint Unified","0636780",432
"240","CA","Siskiyou Union High","0636940",537
"241","CA","Snelling-Merced Falls Union Elementary","0636960",81
"242","CA","Sonoma County Office of Education","0691040",521
"243","CA","South Bay Union Elementary","0637350",477
"244","CA","South Fork Union","0637470",278
"245","CA","Spreckels Union Elementary","0637710",996
"246","CA","Sulphur Springs Union","0638220",5329
"247","CA","Tulare County Office of Education","0691045",1613
"248","CA","Tuolumne County Superintendent of Schools","0691046",106
"249","CA","Twain Harte","0640200",270
"250","CA","Two Rock Union","0640260",164
"251","CA","Vallecito Union","0640680",598
"252","CA","Valley Center-Pauma Unified","0600069",3956
"253","CA","Vista del Mar Union","0641220",24
"254","CA","Washington Unified","0601415",2686
"255","CA","Washington Unified","0641580",7646
"256","CA","Washington Union Elementary","0641610",880
"257","CA","West Side Union Elementary","0642270",174
"258","CA","Westwood Unified","0642300",183
"259","CA","Woodville Union Elementary","0643170",438
"260","CA","Yreka Union High","0643410",650
"261","CO","Academy School District No. 20 in the county of El Paso an","0801920",26603
"262","CO","Agate School District No. 300","0801980",44
"263","CO","Aguilar Reorganized School District No. 6","0802010",121
"264","CO","Akron School District No. R-1","0802040",371
"265","CO","Arickaree School District No. R-2","0802220",114
"266","CO","Arriba-Flagler Consolidated School District No. 20","0802260",152
"267","CO","Aspen School District No. 1 in the county of Pitkin and Sta","0802280",1653
"268","CO","Aurora Joint District No. 28 of the counties of Adams and A","0802340",40088
"269","CO","Bethune School District No. R- 5","0802460",118
"270","CO","Big Sandy School District No. 100J","0806600",335
"271","CO","Branson Reorganized School District No. 82","0802520",431
"272","CO","Buena Vista School District No. R-31","0802640",1077
"273","CO","Campo School District No. Re-6","0802760",42
"274","CO","Centennial School District No. R-1","0806360",219
"275","CO","Center Consolidated School District No. 26 Jt. of the count","0802850",606
"276","CO","Cheraw School District No. 31 in the county of Otero and S","0802880",224
"277","CO","Cheyenne County School District No. Re-5","0800001",197
"278","CO","Colorado School for the Deaf and Blind","0800023",189
"279","CO","Creede School District","0803150",81
"280","CO","Crowley County School District No. Re-1-J","0803210",425
"281","CO","De Beque Joint District No. 49 of the counties of Mesa and","0803240",164
"282","CO","Deer Trail School District No. 26J","0803270",253
"283","CO","Dolores County School District RE-2J","0803420",232
"284","CO","Dolores School District No. Re-4A","0803390",692
"285","CO","Douglas County School District No. Re 1","0803450",67305
"286","CO","Eagle County School District No. Re 50","0803540",6812
"287","CO","Edison Joint District No. 54 of the counties of El Paso and","0803630",243
"288","CO","Elbert School District No. 200","0803690",254
"289","CO","Ellicott School District No. 22 in the county of El Paso a","0803750",1142
"290","CO","Englewood School District No. 1 in the county of Arapahoe","0803780",2634
"291","CO","Fountain School District No. 8 in the county of El Paso an","0804080",8529
"292","CO","Fowler School District No. R4J","0804110",359
"293","CO","Fremont Re-1","0802790",3482
"294","CO","Fremont Re-2","0803960",1398
"295","CO","Genoa-Hugo School District No. C-113","0804740",220
"296","CO","Gilpin County School District No. Re-1","0804230",498
"297","CO","Granada School District No. Re-1","0804290",197
"298","CO","GreeleySchool District No. 6 in the county of Weld and Sta","0804410",22544
"299","CO","Gunnison Watershed School District Re1J","0804470",2111
"300","CO","Hanover School District No. 28 in the county of El Paso an","0804500",258
"301","CO","Haxtun School District No. Re-2J","0804560",345
"302","CO","Hayden School District No. Re 1","0804590",420
"303","CO","Hi-Plains R-23","0806510",130
"304","CO","Hinsdale County School District No. Re-1","0804620",87
"305","CO","Hoehne Reorganized School District No. 3","0804650",365
"306","CO","Holly School District No. Re-3","0804680",304
"307","CO","Holyoke School District No. Re-1J","0804710",587
"308","CO","Huerfano School District Re-1","0807080",541
"309","CO","Idalia RJ-3 School District","0800018",200
"310","CO","Julesburg School District No. Re1","0804860",829
"311","CO","Karval School District No. Re 23","0804890",55
"312","CO","Kim Reorganized School District No. 88","0804980",48
"313","CO","Kiowa County School District No. Re-1","0803510",203
"314","CO","Kiowa County School District No. Re-2","0806930",57
"315","CO","Kit Carson School District No. R-1","0805040",109
"316","CO","La Veta School District Re-2","0805160",212
"317","CO","Lake County School District No. R-1","0805190",1102
"318","CO","Las Animas School District No. Re-1","0805250",2406
"319","CO","Lewis-Palmer Consolidated School District No. 38 in the co","0805820",6756
"320","CO","Liberty J-4 School District","0800019",68
"321","CO","Limon School District No. Re 4J","0805280",450
"322","CO","Littleton School District No. 6 in the county of Arapahoe","0805310",14988
"323","CO","Lone Star School District No. 101","0805340",130
"324","CO","Mancos School District Re-6","0805460",507
"325","CO","Manitou Springs School District No. 14 in the county of El","0805490",1441
"326","CO","Manzanola Joint District No. 3J of the counties of Otero a","0805520",169
"327","CO","Mapleton School District No. 1 in the county of Adams & St","0805550",9149
"328","CO","McClave School District No. Re-2","0805580",229
"329","CO","Meeker School District Re1","0805610",760
"330","CO","Miami-Yoder Joint District No. 60 of the counties of El Pas","0805670",288
"331","CO","Moffat School District No. 2 in the county of Saguache and","0805700",227
"332","CO","Montezuma-Cortez School District No. Re-1","0803090",2779
"333","CO","Mountain Valley School District No. Re 1","0806300",170
"334","CO","North Park School District R-1","0807050",179
"335","CO","Norwood School District No. R-2J","0805880",199
"336","CO","Otis School District No. R-3","0805940",216
"337","CO","Ouray School District No. R-1 of the county of Ouray and","0805970",170
"338","CO","Peyton School District No. 23 in the county of El Paso and","0806060",626
"339","CO","Plateau Valley School District No. 50 in the county of Mesa","0803030",394
"340","CO","Primero Reorganized School District No. 2","0807260",200
"341","CO","Pritchett School District No. Re-3","0806090",60
"342","CO","Rangely School District RE4","0806180",518
"343","CO","Revere School District","0806000",139
"344","CO","Ridgway School District No. R-2 of the county of Ouray a","0806210",354
"345","CO","Salida School District No. R-32","0806330",1331
"346","CO","Sanford School District No. 6 in the county of Conejos and","0806390",353
"347","CO","Sangre de Cristo School District No. Re-22J","0806420",285
"348","CO","Sargent School District No. Re-33J","0806450",354
"349","CO","School District No. C-2 in the county of Elbert and State of","0805010",252
"350","CO","School District No. R-4 in the county of Kit Carson and Stat","0806780",239
"351","CO","School District No. Re-10 in the county of Weld and State o","0802550",184
"352","CO","School District No. Re-11 in the county of Weld and State of","0806720",222
"353","CO","School District No. Re-12 in the county of Weld and State of","0804440",82
"354","CO","School District No. Re-20 Weldon Valley","0807140",214
"355","CO","School District No. Re-3 Frenchman","0803930",207
"356","CO","School District No. Re-4 Buffalo","0805640",302
"357","CO","School District No. Re-5 Plateau","0806030",165
"358","CO","School District No. Re-50 Wiggins","0807290",715
"359","CO","Sierra Grande School District No. R-30","0804140",269
"360","CO","Silverton School District No. 1 in the county of San Juan","0806570",81
"361","CO","South Conejos School District No. Re10","0802130",150
"362","CO","South Routt School District No. Re 3","0805910",325
"363","CO","Springfield School District No. Re-4","0806630",309
"364","CO","St. Vrain Valley School District No. Re1J","0805370",32855
"365","CO","Steamboat Springs School District No. Re 2","0806660",2653
"366","CO","Strasburg School District 31J","0806750",1080
"367","CO","Swink School District No. 33 in the county of Otero and St","0806840",321
"368","CO","Trinidad School District 1 in the county of Las Animas and","0806960",881
"369","CO","Walsh School District No. Re-1","0807110",154
"370","CO","Weld County Reorganized School District No. Re-1","0804200",1953
"371","CO","Weld County Reorganized School District No. Re-4","0807350",7313
"372","CO","Weld County School District No. Re-2","0803600",1968
"373","CO","Weld County School District No. Re-7","0804950",1093
"374","CO","Weld County School District No. Re-9","0802310",943
"375","CO","West End School District No. Re-2","0805850",272
"376","CO","West Grand School District No. 1","0805070",434
"377","CO","Wiley School District No. Re-13 Jt","0807320",238
"378","CO","Woodland Park School District No. Re-2","0807380",2284
"379","CO","Woodlin School District No. R-104","0807410",85
"380","CO","Yuma 1 School District","0800016",903
"381","CT","Andover School District","0900030",195
"382","CT","Ansonia School District","0900060",2265
"383","CT","Ashford School District","0900090",390
"384","CT","Avon School District","0900120",3162
"385","CT","Barkhamsted School District","0900150",218
"386","CT","Berlin School District","0900210",2735
"387","CT","Bethany School District","0900240",369
"388","CT","Bethel School District","0900270",3139
"389","CT","Bloomfield School District","0900330",2192
"390","CT","Bolton School District","0900360",774
"391","CT","Bozrah School District","0900390",185
"392","CT","Branford School District","0900420",2791
"393","CT","Bridgeport School District","0900450",20111
"394","CT","Bristol School District","0900510",7858
"395","CT","Brookfield School District","0900540",2609
"396","CT","Brooklyn School District","0900570",903
"397","CT","Canaan School District","0900630",67
"398","CT","Canterbury School District","0900660",469
"399","CT","Canton School District","0900690",1562
"400","CT","Chaplin School District","0900720",139
"401","CT","Cheshire School District","0900750",4188
"402","CT","Chester School District","0900780",186
"403","CT","Clinton School District","0900810",1679
"404","CT","Colchester School District","0900840",2311
"405","CT","Colebrook School District","0900870",74
"406","CT","Columbia School District","0900900",408
"407","CT","Connecticut Technical Education and Career System","0900002",10993
"408","CT","Cornwall School District","0900930",87
"409","CT","Coventry School District","0900960",1673
"410","CT","Cromwell School District","0900990",1968
"411","CT","Danbury School District","0901020",11903
"412","CT","Darien School District","0901050",4737
"413","CT","Deep River School District","0901080",235
"414","CT","Department of Mental Health and Addiction Services","0900027",7
"415","CT","Derby School District","0901110",1280
"416","CT","East Granby School District","0901170",831
"417","CT","East Haddam School District","0901200",996
"418","CT","East Hampton School District","0901230",1837
"419","CT","East Hartford School District","0901260",6767
"420","CT","East Haven School District","0901290",2871
"421","CT","East Lyme School District","0901320",2687
"422","CT","East Windsor School District","0901350",1067
"423","CT","Eastford School District","0901380",150
"424","CT","Easton School District","0901410",881
"425","CT","EDADVANCE","0903512",265
"426","CT","Ellington School District","0901440",2676
"427","CT","Enfield School District","0901470",5015
"428","CT","Essex School District","0901500",330
"429","CT","Fairfield School District","0901530",9624
"430","CT","Farmington School District","0901560",4149
"431","CT","Franklin School District","0901590",158
"432","CT","Glastonbury School District","0901620",5814
"433","CT","Granby School District","0901680",1790
"434","CT","Greenwich School District","0901710",9015
"435","CT","Griswold School District","0901740",1765
"436","CT","Groton School District","0901770",4252
"437","CT","Guilford School District","0901800",3236
"438","CT","Hamden School District","0901860",5408
"439","CT","Hampton School District","0901890",90
"440","CT","Hartford School District","0901920",18081
"441","CT","Hartland School District","0901950",157
"442","CT","Hebron School District","0902010",658
"443","CT","Judicial Centers","0900222",67
"444","CT","Kent School District","0902040",205
"445","CT","Killingly School District","0902070",2463
"446","CT","Lebanon School District","0902130",975
"447","CT","Ledyard School District","0902160",2411
"448","CT","Lisbon School District","0902190",419
"449","CT","Litchfield School District","0902220",882
"450","CT","Madison School District","0902280",2610
"451","CT","Manchester School District","0902310",6262
"452","CT","Mansfield School District","0902340",1131
"453","CT","Marlborough School District","0902370",448
"454","CT","Meriden School District","0902400",8117
"455","CT","Middletown School District","0902490",4548
"456","CT","Milford School District","0902520",5583
"457","CT","Monroe School District","0902550",3123
"458","CT","Montville School District","0902580",2046
"459","CT","Naugatuck School District","0902640",4359
"460","CT","New Britain School District","0902670",10032
"461","CT","New Canaan School District","0902700",4208
"462","CT","New Fairfield School District","0902730",2179
"463","CT","New Hartford School District","0902760",434
"464","CT","New Haven School District","0902790",20468
"465","CT","New London School District","0902820",3391
"466","CT","New Milford School District","0902850",3930
"467","CT","Newington School District","0902880",3993
"468","CT","Newtown School District","0902910",4162
"469","CT","Norfolk School District","0902940",73
"470","CT","North Branford School District","0902970",1692
"471","CT","North Canaan School District","0903000",253
"472","CT","North Haven School District","0903030",3160
"473","CT","North Stonington School District","0903060",741
"474","CT","Norwalk School District","0903090",11642
"475","CT","Norwich Free Academy District","0905371",2266
"476","CT","Norwich School District","0903120",3488
"477","CT","Old Saybrook School District","0903180",1191
"478","CT","Orange School District","0903210",1234
"479","CT","Oxford School District","0903240",1712
"480","CT","Plainfield School District","0903270",2162
"481","CT","Plainville School District","0903300",2345
"482","CT","Plymouth School District","0903330",1358
"483","CT","Pomfret School District","0903360",382
"484","CT","Portland School District","0903390",1296
"485","CT","Preston School District","0903420",433
"486","CT","Putnam School District","0903480",1160
"487","CT","Redding School District","0903510",832
"488","CT","Regional School District 07","0903720",1027
"489","CT","Regional School District 09","0903780",855
"490","CT","Regional School District 12","0903530",705
"491","CT","Regional School District 14","0903536",1584
"492","CT","Regional School District 15","0903537",3646
"493","CT","Regional School District 18","0903540",1288
"494","CT","Ridgefield School District","0903810",4679
"495","CT","Rocky Hill School District","0903840",2698
"496","CT","Salem School District","0903900",415
"497","CT","Salisbury School District","0903930",284
"498","CT","Scotland School District","0903960",106
"499","CT","Seymour School District","0903990",2160
"500","CT","Sharon School District","0904020",103
"501","CT","Shelton School District","0904050",4654
"502","CT","Sherman School District","0904080",274
"503","CT","Simsbury School District","0904110",4064
"504","CT","Somers School District","0904140",1349
"505","CT","South Windsor School District","0904170",4536
"506","CT","Southington School District","0904230",6298
"507","CT","Sprague School District","0904260",272
"508","CT","Stamford School District","0904320",16479
"509","CT","Sterling School District","0904350",360
"510","CT","Stonington School District","0904380",1953
"511","CT","Stratford School District","0904440",6795
"512","CT","Suffield School District","0904470",2109
"513","CT","The Gilbert School District","0905372",466
"514","CT","The Woodstock Academy District","0905373",1107
"515","CT","Thomaston School District","0904500",848
"516","CT","Thompson School District","0904530",974
"517","CT","Tolland School District","0904560",2331
"518","CT","Torrington School District","0904590",3788
"519","CT","Trumbull School District","0904620",6787
"520","CT","Unified School District #1","0900003",158
"521","CT","Unified School District #2","0900004",68
"522","CT","Union School District","0904650",46
"523","CT","Vernon School District","0904680",3134
"524","CT","Voluntown School District","0904710",261
"525","CT","Wallingford School District","0904740",5649
"526","CT","Waterbury School District","0904830",18697
"527","CT","Waterford School District","0904860",2445
"528","CT","Watertown School District","0904890",2705
"529","CT","West Hartford School District","0904920",9437
"530","CT","West Haven School District","0904950",5756
"531","CT","Westbrook School District","0904980",664
"532","CT","Weston School District","0905010",2282
"533","CT","Westport School District","0905040",5312
"534","CT","Wethersfield School District","0905070",3575
"535","CT","Willington School District","0905100",438
"536","CT","Wilton School District","0905130",3843
"537","CT","Winchester School District","0905160",557
"538","CT","Windham School District","0905190",3321
"539","CT","Windsor Locks School District","0905250",1587
"540","CT","Windsor School District","0905220",3303
"541","CT","Wolcott School District","0905280",2188
"542","CT","Woodbridge School District","0905310",838
"543","CT","Woodstock School District","0905370",816
"544","DC","District of Columbia Public Schools","1100030",50971
"545","DE","Appoquinimink School District","1000080",11737
"546","DE","Brandywine School District","1001240",10548
"547","DE","Caesar Rodney School District","1000180",8183
"548","DE","Cape Henlopen School District","1000170",5860
"549","DE","Capital School District","1000190",6491
"550","DE","Christina School District","1000200",13370
"551","DE","Colonial School District","1000230",9921
"552","DE","Delmar School District","1000270",1395
"553","DE","Indian River School District","1000680",10942
"554","DE","Lake Forest School District","1000790",3721
"555","DE","Laurel School District","1000810",2645
"556","DE","Milford School District","1001080",4244
"557","DE","New Castle County Vocational-Technical School District","1001280",4615
"558","DE","POLYTECH School District","1000750",1192
"559","DE","Red Clay Consolidated School District","1001300",15520
"560","DE","Seaford School District","1001530",3465
"561","DE","Smyrna School District","1001620",5882
"562","DE","Sussex Technical School District","1001680",1241
"563","DE","Woodbridge School District","1001850",2594
"564","FL","Ahfachkee Day School","5900092",166
"565","FL","DEAF/BLIND","1202016",519
"566","FL","FAMU LAB SCH","1202014",600
"567","FL","FAU LAB SCH","1202012",2652
"568","FL","FSU LAB SCH","1202013",2494
"569","FL","Miccosukee Indian School","5900090",131
