"","state","acfrs_original_name","acfrsID","ncesID"
"49","CA","Santa Clara County Office of Education","31717",NA
"50","CA","Shasta County Office of Education","31719",NA
"51","CO","Brush School District No. Re-2j","65551",NA
"52","CO","Arapahoe County School District No. 1","32037",NA
"53","CO","Arapahoe County School District Number Six","41980",NA
"54","CO","Byers School District Number 32j","167276",NA
"55","CA","Yuba County Office of Education","31736",NA
"56","CO","East Central Board of Cooperative Educational Services","32066",NA
"57","CO","Centennial Board of Cooperative Educational Services","45625",NA
"58","CO","El Paso County School District Two-Harrison","32050",NA
"59","CO","Joint School District No 28-J of the Counties of Adams and Arapahoe","32038",NA
"60","CO","North Conejos School District Re-1j","32042",NA
"61","CO","Northeast Colorado Board of Cooperative Educational Services","32075",NA
"62","CO","Northwest Colorado Board of Cooperative Educational Services","41619",NA
"63","CO","San Juan Board of Cooperative Educational Services","32062",NA
"64","CO","San Luis Valley BOCES","32035",NA
"65","CO","Santa Fe Trail BOCES","46575",NA
"66","CO","Southeastern BOCES","93774",NA
"67","CO","Logan County School District No. Re-1 Valley","32067",NA
"68","CO","Counties of Adams Weld and Broomfield School District 27j","196446",NA
"69","CO","St Vrain Valley School District Re-1j","32039",NA
"70","CO","Montrose County School District Re-1j","32071",NA
"71","CO","Weld County School District Re-3j","32086",NA
"72","CO","El Paso County School District No.3","50441",NA
"73","CO","El Paso County School District No.8","32049",NA
"74","CO","Pikes Peak Board of Cooperative Educational Services","46642",NA
"75","CT","Shepaug Regional School District 12","98978",NA
"76","CT","Capitol Regional Education Council","32208",NA
"77","CT","Nonnewaug Regional School District 14","98974",NA
"78","FL","Hardee County District School Board","1160267",NA
"79","FL","Highlands County District School Board","1160271",NA
"80","GA","City of Decatur Board of Education","70975",NA
"81","IA","Central Rivers Area Education Agency 267","50262",NA
"82","IA","Great Prairie Area Education Agency","52626",NA
"83","IA","Grant Wood Area Education Agency 10","33361",NA
"84","IA","Green Hills Aea","33420",NA
"85","FL","The Florida School for the Deaf and the Blind","157127",NA
"86","IA","Keystone Area Education Agency 1","33371",NA
"87","IA","Mississippi Bend Area Education Agency 9","163090",NA
"88","IA","Treasurer of State Iowa Educational Savings Plan Trust","163249",NA
"89","IL","Cass Elementary School District 63","224080",NA
"90","IL","Bunker Hill Community Unit School District No. 8","224073",NA
"91","IL","Brooklyn Unit School District No. 188","33119",NA
"92","IL","Casey-Westfield Community Unit School District C-4","42094",NA
"93","IL","Avoca Public School District No. 37","224058",NA
"94","IL","Byron Community School District No. 226","65800",NA
"95","IL","Boubonnais Elementary School District No. 53","224070",NA
"96","IL","Board of Education of the City of Peoria District No. 150","169382",NA
"97","IL","Benton Consolidated High School District No. 103","224064",NA
"98","IL","Auburn Community Unit School District 10","47457",NA
"99","IL","Bradley Bourbonnais Community High School #307","93828",NA
"100","IL","Athens Community Unit School District No. 213","224057",NA
"101","IL","Capital Area Career Center","45120",NA
"102","IL","Career Center of Southern Illinois","42411",NA
"103","IL","Bushnell-Prairie City Community Unit School District No. 170","224075",NA
"104","IL","East Dubuque Unit School District 119","224112",NA
"105","IL","Columbia Community Unit School District 4","53151",NA
"106","IL","Galena Unit School District 120","224123",NA
"107","IL","Gavin School District No. 37","224125",NA
"108","IL","Gibson City-Melvin-Sibley Community Unit District No. 5","196569",NA
"109","IL","Century Unit School District No. 100","224085",NA
"110","IL","Glen Ellyn School District No. 41","224126",NA
"111","IL","Eastland Community Unit School District No. 308","224113",NA
"112","IL","Dwight Common School District 232","224111",NA
"113","IL","Frankfort Community Consolidated School District 157-C","224119",NA
"114","IL","Central Community Unit School District No.4","46174",NA
"115","IL","Channahon School District No. 17","224089",NA
"116","IL","Central City School District No. 133","224082",NA
"117","IL","Chaney-Monge School District No. 88","224088",NA
"118","IL","Greenfield Community Unit School District No. 10","224129",NA
"119","IL","Fremont School District No. 79","224121",NA
"120","IL","Fulton County Community Unit School District No. 3","224122",NA
"121","IL","Homer Community Consolidated School District 33c","72418",NA
"122","IL","Hall High School District No. 502","224131",NA
"123","IL","Egyptian Community Unit School District No.5","32880",NA
"124","IL","Fairfield Public School District 112","224117",NA
"125","IL","Hononegah Comm. High School Dist. No. 207","224135",NA
"126","IL","Lake County Area Vocational System","42100",NA
"127","IL","Mt. Vernon Township High School District No. 201","74312",NA
"128","IL","Libertyville School District No. 70","224145",NA
"129","IL","Lincolnshire Prairie-View School Disitrct No. 103","224147",NA
"130","IL","Lindop School District No. 92-Cook County No 92","224148",NA
"131","IL","Lagrange Area Department of Special Education","40326",NA
"132","IL","Lena-Winslow Community Unit School District No. 202","224144",NA
"133","IL","Milford Area Public School District No. 124","224154",NA
"134","IL","Norris City-Omaha-Enfield Community Unit School District No. 3","224166",NA
"135","IL","Manhattan School District 114","224150",NA
"136","IL","Homewood-Flossmoor Community High School District 233","93855",NA
"137","IL","Neoga Community Unit School District 3","224165",NA
"138","IL","North Mac Community Unit School District No. 34","224167",NA
"139","IL","Meridian Community Unit School District No. 223","224152",NA
"140","IL","Morton Grove School District 70","224160",NA
"141","IL","Morris Elementary School District #54","93877",NA
"142","IL","Kaskaskia Special Education District 801","167480",NA
"143","IL","Northwestern Community Unit School District No.2","224169",NA
"144","IL","Community Consolidated School District 15","32944",NA
"145","IL","Riverside Brookfield Township High School District 208","224196",NA
"146","IL","Community Unit School District No. 1","32892",NA
"147","IL","Reed-Custer Community Unit School District No. 255u","45320",NA
"148","IL","River Forest Public Schools District 90","224194",NA
"149","IL","O'fallon High Township School District No. 203","224172",NA
"150","IL","Rock Island-Milan School District No. 41","33114",NA
"151","IL","Riverside Public School District No. 96","224198",NA
"152","IL","Queen Bee School District 16","46515",NA
"153","IL","Peru Elementary School District No. 124","224177",NA
"154","IL","Pinckneyville School District No. 50","224178",NA
"155","IL","River Ridge Community Unit School District No. 210","224195",NA
"156","IL","Salt Creek School District No. 48","224205",NA
"157","IL","Princeton Elementary School District No. 115","64825",NA
"158","IL","O'fallon Community Consolidated School District No. 90","33124",NA
"159","IL","Rantoul Township High School District No. 193","224186",NA
"160","IL","Pleasant Plains Community Unit School District No. 8","224179",NA
"161","IL","Sangamon Valley Community Unit School District No. 9","224206",NA
"162","IL","Southeastern Community Unit School District No. 337","224214",NA
"163","IL","Cook County School District 151","32952",NA
"164","IL","Community High School District 128","53408",NA
"165","IL","Skokie School District 73.5","224209",NA
"166","IL","South Central Community Unit School District No. 401","33089",NA
"167","IL","South Beloit Community Unit School District 320","224210",NA
"168","IL","River Bend Community Unit School District No. 2","224193",NA
"169","IL","Community Unit School District 100","42064",NA
"170","IL","Community Unit School District 303","33020",NA
"171","IL","Cook County Midlothian School District No. 143","167447",NA
"172","IL","Streator Elementary School District No. 44","33051",NA
"173","IL","Spring Valley Elementary CCSD No. 99","224215",NA
"174","IL","Homer Township Public Library District","224234",NA
"175","IL","Vienna High School District No. 13-3","224233",NA
"176","IL","Union School District 81","224230",NA
"177","IL","V.I.T. Commumity Unit School District No. 2","224239",NA
"178","IL","Washington Grade School","224243",NA
"179","IL","Winnebago Community Unit School District No. 323","224254",NA
"180","IL","Winnetka Public Schools District No. 36","224255",NA
"181","IL","West Aurora School District 129","33021",NA
"182","IL","West Central Community Unit School District No. 235","224248",NA
"183","IL","West Northfield School District 31","224249",NA
"184","IL","Wilmington Community Unit School District No. 209u","50812",NA
"185","IL","Wilmette Public Schools District 39","50638",NA
"186","IL","Woodland Community Unit School District No. 5","224256",NA
"187","KS","Bourbon County Unified School District 234","33483",NA
"188","IN","Cook County School District 130","224263",NA
"189","KS","Baldwin City Unified School District No 348","224277",NA
"190","KS","Fairfield Unified School District No. 310","224284",NA
"191","KS","Chapman Unified School District No. 473","224279",NA
"192","KS","Circle Unified School District No. 375","224281",NA
"193","KS","Clearwater Unified School District No. 264","224282",NA
"194","KS","Desoto Unified School District 232","33514",NA
"195","KS","East Central Cooperative in Education","224283",NA
"196","KS","Central Plains Unified School District No. 112","224278",NA
"197","IL","Zeigler-Royalton Community Unit School District 188","224257",NA
"198","KS","Prairie Hills Unified School District 113","224293",NA
"199","KS","Pratt Unified School District No. 382","224294",NA
"200","KS","Reno County Education Cooperative No. 610","33543",NA
"201","KS","Santa Fe Trail Unified School District No. 434","224297",NA
"202","KS","Rice County Unified School District No. 376","224295",NA
"203","KS","Unified School Distrct No. 379","167602",NA
"204","KS","Unified School District 483 Kismet-Plains Ks","224311",NA
"205","KS","Butler County Special Education Interlocal No. 638","57453",NA
"206","KS","Unified School District 235","224303",NA
"207","KS","Unified School District 246","224307",NA
"208","KS","Three Lakes Educational Cooperative","224302",NA
"209","KS","Unified School District No 362 Prairie View","224320",NA
"210","KS","Unified School District No. 206","224312",NA
"211","KS","Unified School District No. 251","224313",NA
"212","KS","Shawnee Mission Union School District No. 512","196794",NA
"213","KS","South Barber Unified School District No. 255","224299",NA
"214","KS","Southwest Kansas Area Cooperative District No 613","58420",NA
"215","KS","Unified School District 343","224309",NA
"216","KS","Southwest Plains Regional Service Center Unified School District No. 626","47229",NA
"217","KS","Unified School District 404","224310",NA
"218","KS","Tri-County Special Education Cooperative No. 607","33532",NA
"219","KS","Unified School District No. 287","224316",NA
"220","KS","Unified School District No. 265 Sedgwick County Kansas Goddard","224315",NA
"221","KS","Unified School District 247","224308",NA
"222","KS","Unified School District No. 254","224314",NA
"223","KS","Unified School District No. 331","224318",NA
"224","KS","Unified School District No. 337","33512",NA
"225","KS","Unified School District No. 352","224319",NA
"226","KS","Unified School District No. 389","224321",NA
"227","KS","Haven Unified School District Number 312","224285",NA
"228","KS","Louisburg Unified School District No. 416","224287",NA
"229","KS","Hiawatha Unified School District","224286",NA
"230","KS","High Plains Educational Cooperative District Number 611","33509",NA
"231","KS","Northwest Kansas Educational Service Center Interlocal District No. 602","33524",NA
"232","KS","North Central Kansas Special Education Cooperative Interlocal 636","48557",NA
"233","KS","Unified School District No. 492","224322",NA
"234","KS","Hesston Unified School District No. 460","224329",NA
"235","KS","Halstead-Bentley Unified School District No. 440","224328",NA
"236","KS","Unified School District No. 373","196796",NA
"237","KS","Vermillion Unified School District No. 380","224323",NA
"238","KS","Lakin Unified School District No. 215","224325",NA
"239","KS","Minneapolis Unified School District No. 239","224326",NA
"240","KS","Unified School District No. 487","224330",NA
"241","KS","Cimarron Unified School District No. 102","224324",NA
"242","LA","Bienville Parish Tax Agency Fund of the Bienville Parish School Board","75111",NA
"243","LA","Claiborne Parish School Board","75409",NA
"244","MA","Diman Regional Vocational Technical High School","196825",NA
"245","MA","Gateway Regional School District","224403",NA
"246","MA","Hamilton-Wenham Regional School District","224404",NA
"247","LA","Webster Parish School Board","169586",NA
"248","MA","Acton-Boxborough Regional School Distrcit","224387",NA
"249","MA","Blackstone Valley Vocational Regional School District","34219",NA
"250","LA","Vernon Parish School Board","171357",NA
"251","MA","Nashoba Valley Technical High School","224416",NA
"252","MD","Board of Education of Queen Anne's County","40220",NA
"253","ME","Baileyville School Department","224461",NA
"254","MD","St. Mary's County Public Schools","40284",NA
"255","MA","Northern Berkshire Vocational Regional School District","224419",NA
"256","MA","Pathfinder Regional Vocational Technical High School District","47713",NA
"257","ME","Deer Isle - Stonington Community School District","224465",NA
"258","ME","Maine School Administrative District 31","224472",NA
"259","ME","Maine School Administrative District 63","224473",NA
"260","ME","Maine School Administrative District No. 24","224474",NA
"261","ME","Maine Administrative District No.1","33925",NA
"262","ME","Maine School Administrative District No. 32","224475",NA
"263","ME","Easton School Department","224466",NA
"264","ME","Maine School Administrative District No. 33","224479",NA
"265","ME","Maine School Administrative District No. 46","33940",NA
"266","ME","Maine School Administrative District No. 45","224476",NA
"267","ME","Maine School Administrative District No. 70","224481",NA
"268","ME","Maine School Administrative District No.42","224480",NA
"269","ME","Mount Desert Island Consolidated School District","224477",NA
"270","ME","M.S.A.D 27","33926",NA
"271","ME","Maine School Administrative District No. 20","224478",NA
"272","ME","Regional School Unit No. 50","55332",NA
"273","ME","Regional School Unit No. 26","224486",NA
"274","ME","Regional School Unit No. 49","93958",NA
"275","ME","Regional School Unit No. 89","224489",NA
"276","ME","Maine Regional School Unit No. 84","224491",NA
"277","ME","Maine School Administrative 23","224488",NA
"278","ME","Maine School Administrative Di","224487",NA
"279","ME","Woodland School Department","224496",NA
"280","NE","Doniphan-Trumbull Public Schools District No. 40","108954",NA
"281","NE","Cam bridge Public Schools District No. 21","190236",NA
"282","NE","Dodge County School District No. 001","109135",NA
"283","NE","School District No.19-0058 of Clarkson","108730",NA
"284","NE","Educational Service Unit No. 10","35469",NA
"285","NE","Washington County School District No. 24","190219",NA
"286","NE","Lincoln County School District No. 56","190232",NA
"287","NE","Exeter School District No. 30-0001","109108",NA
"288","NE","Elba School District No.103","109090",NA
"289","NE","Educational Service Unit No. 7","43078",NA
"290","NE","Hall County School District 2","190279",NA
"291","NE","Douglas County School District No. 10","109092",NA
"292","NE","Scotts Bluff County School District No. 16","93980",NA
"293","NE","Grant County School District No. 38-0011","196989",NA
"294","NE","Lancaster County School District 001","35487",NA
"295","NE","Antelope County School District No. 9","190329",NA
"296","NE","Washington County School District No. 1","35503",NA
"297","NE","McCool Junction School District No. 83","197966",NA
"298","NE","Cass County School District No. 1","108696",NA
"299","NE","Douglas County School District #0001","35480",NA
"300","NE","Palmyra School District or 1","109398",NA
"301","NE","School District No. 12-0056","108636",NA
"302","NE","Douglas County School District No. 54","109441",NA
"303","NE","Ponca Public Schools","190348",NA
"304","AZ","Ray Unified School District No.3","223741",NA
"305","AZ","Palo Verde Elementary School District No. 49","224546",NA
"306","AZ","Pima County Joint Technical Education District No. 11","223740",NA
"307","CA","Lakeside Union Elementary School District (Hanford)","67469",NA
"308","CA","Vallecito Union School District","146740",NA
"309","CA","South Bay Union Elementary School District","146666",NA
"310","CO","Steamboat Springs School District Re-2","223948",NA
"311","CO","Mcclave School District Re-2","223931",NA
"312","CO","Meeker School District Re-1","223932",NA
"313","CO","Weld County School District Re-9","223961",NA
"314","CO","Moffat Consolidated School District No. 2","223934",NA
"315","CO","South Conejos School District Re-10","223946",NA
"316","CT","Regional Supervision District Board of Education","68357",NA
"317","CO","Montezuma County School District Re-4a","223935",NA
"318","CO","Mancos School District Re-6","223930",NA
"319","CO","West Grand School District 1-Jt","223963",NA
"320","CO","Sierra Grande School District R-30","223945",NA
"321","ID","Emmett Independent School District No. 221","224632",NA
"322","ID","Firth School District 59","224633",NA
"323","ID","Future Public School","224634",NA
"324","ID","Glenns Ferry Joint School District No. 192","224635",NA
"325","ID","Hagerman Joint School District No. 233","224639",NA
"326","ID","Hansen School District","224640",NA
"327","ID","Gooding Joint School District No. 231","224636",NA
"328","ID","Cascade School District No. 422","224631",NA
"329","ID","Challis Joint School District No. 181","93813",NA
"330","ID","Coeur D'alene School District No. 271","32730",NA
"331","ID","Cottonwood Joint School District No. 242","65253",NA
"332","ID","Basin School District No. 72","224629",NA
"333","ID","Fremont County School District 215","32724",NA
"334","IL","Kildeer Countryside Consolidated School District No 96","47504",NA
"335","CA","Yolo County Office of Education","45630",NA
"336","CO","Calhan School District RJ-1","64782",NA
"337","CO","Burlington School District Re-6j","223902",NA
"338","CO","Fremont County School District No. Re-2","169754",NA
"339","CO","Julesburg School District Re-1","223927",NA
"340","CO","La Veta Public Schools","1143199",NA
"341","CO","Conejos School District No. 6j","223911",NA
"342","CO","Holyoke School District Re-1j","223922",NA
"343","CO","El Paso County School District No. 14","223917",NA
"344","GA","Board of Education of the City of Marietta","105326",NA
"345","HI","Kualapu'u School","54896",NA
"346","ID","Plummer Worley Joint School District No. 44","32705",NA
"347","ID","Melba Joint School District No. 136","224649",NA
"348","ID","New Plymouth School District No. 372","93818",NA
"349","ID","Shoshone Joint School District #312","93820",NA
"350","ID","Soda Springs Joint School District No. 150","224656",NA
"351","ID","Twin Falls School District No 411","224658",NA
"352","ID","Valley School District 262","224659",NA
"353","ID","Ririe Joint School District No. 252","224655",NA
"354","ID","Vallivue School Disrict No 139","224660",NA
"355","ID","West Jefferson School District 253","224661",NA
"356","ID","West Side School District No. 202","50110",NA
"357","ID","Pocatello/Chubbuck School District No. 25","32702",NA
"358","ID","Murtaugh Joint School District Number 418","224651",NA
"359","ID","Joint School District No.2","32700",NA
"360","ID","Mosaics Public School","224650",NA
"361","IA","Central Community School District Elkader","162893",NA
"362","IA","Prairie Lakes Area Education Agency","165780",NA
"363","IA","Olin Community School District","163144",NA
"364","KY","Beechwood Independent School District","224721",NA
"365","KY","Cloverport Independent School District","224722",NA
"366","KS","Jefferson West Unified School District No. 340","224719",NA
"367","KY","Elliott County Board of Education","93943",NA
"368","KY","Fort Thomas Independent School District","33636",NA
"369","KY","Berea Indepemdent School District","224729",NA
"370","KY","Knott County Board of Education","224734",NA
"371","KY","Letcher County Board of Education","224737",NA
"372","KY","Lee County Board of Education","224736",NA
"373","KY","Jackson Independent School District","48540",NA
"374","KY","Jessamine County Board of Education","224731",NA
"375","KY","Martin County Board of Education","224746",NA
"376","KY","Owen County Board of Education","224750",NA
"377","KY","Owsley County Board of Education","224751",NA
"378","KY","Pikeville Independent Board of Education","224753",NA
"379","KY","West Kentucky Educational Cooperative","41857",NA
"380","KY","Trigg County Board of Education","33740",NA
"381","KY","Trimble County Board of Education","224762",NA
"382","KY","Menifee County Board of Education","33713",NA
"383","KY","Science Hill Independent School District","224756",NA
"384","KY","Magoffin County Board of Education","224745",NA
"385","KY","Pendleton County School District","48354",NA
"386","MI","Calhoun Intermediate School District","34372",NA
"387","MI","Bessemer Area Schools","161529",NA
"388","MI","Black River Public School","161627",NA
"389","MI","Breckenridge Community School District","160817",NA
"390","MI","Carsonville-Port Sanilac Schools","161633",NA
"391","MI","Barry Intermediate School District","161432",NA
"392","MI","Bay-Arenac ISD","34351",NA
"393","MI","Branch Intermediate School District","161452",NA
"394","MI","Allegan Area Educational Service Agency","34336",NA
"395","MI","Charlevoix-Emmet Intermediate School District","161477",NA
"396","MI","Alpena-Montmorency-Alcona Educational Service District","34338",NA
"397","MI","Cheboygan-Otsego-Presque Isle Educational Service District","161483",NA
"398","MI","Clare-Gladwin Regional Education Service District","41874",NA
"399","MI","Clarenceville School District of Oakland and Wayne Counties","161664",NA
"400","MI","Deckerville Community Schools","161677",NA
"401","MI","C.O.O.R. Intermediate School District","34614",NA
"402","MI","Berrien Regional Education Service Agency","161444",NA
"403","MI","Colon Community Schools","161667",NA
"404","MI","Delta-Schoolcraft Intermediate School District","161499",NA
"405","MI","Copper Country Intermediate School District","34437",NA
"406","MI","Clinton County Regional Educational Service Agency","161492",NA
"407","MI","Eaton Regional Education Service Agency","161507",NA
"408","MI","Eastern Upper Peninsula Intermediate School District","34385",NA
"409","MI","Dickinson-Iron Intermediate School District","161502",NA
"410","MI","Gogebic-Ontonagon Intermediate School District","161533",NA
"411","MI","Hillsdale County Intermediate School District","161578",NA
"412","MI","Gratiot-Isabella Regional Education Service District","161534",NA
"413","MI","Hemlock Public Schools","161718",NA
"414","MI","Grosse Pointe Public School System","1091468",NA
"415","MI","Heritage Southwest Intermediate School District","224799",NA
"416","MI","Genesee School District #6","161517",NA
"417","MI","Iosco Regional Educational Service Agency","161589",NA
"418","MI","Gobles Public Schools","224795",NA
"419","MI","Homer Community Schools","161460",NA
"420","MI","Kent Intermediate School District","161598",NA
"421","MI","L'anse Area Schools","34343",NA
"422","MI","Ida Public Schools","161727",NA
"423","MI","Kingston Community Schools","161738",NA
"424","MI","L'anse Creuse Public Schools","34513",NA
"425","MI","Kalamazoo Regional Educational Service Agency","161596",NA
"426","MI","Jackson County Intermediate School District","161590",NA
"427","MI","Mattawan Consolidated School","224814",NA
"428","MI","Livingston Educational Service Agency","161614",NA
"429","MI","Lapeer County Intermediate School District","161606",NA
"430","MI","Mcbain Rural Agricultural School","161760",NA
"431","MI","Marquette-Alger Regional Educational Service Agency","161754",NA
"432","MI","Mecosta-Osceola Intermediate School District","161761",NA
"433","MI","Lawton Community Schools","224811",NA
"434","MI","Ionia County Intermediate School District","161587",NA
"435","MI","Manistee Intermediate School District","161619",NA
"436","MI","Lenawee Intermediate School District","161607",NA
"437","MI","Mason County Eastern School District","161656",NA
"438","MI","Menominee County Intermediate School District","161765",NA
"439","MI","Madison School District","161618",NA
"440","MI","Midland County Educational Service Agency","34544",NA
"441","MI","Monroe County Intermediate School District","161773",NA
"442","MI","Montcalm Area Intermediate School District","161774",NA
"443","MI","Ottawa Area Intermediate School District","161813",NA
"444","MI","Onaway Area Community Schools","161487",NA
"445","MI","School District of the City of Oak Park","161807",NA
"446","MI","Oakland Schools","41824",NA
"447","MI","Sanilac Intermediate School District","161842",NA
"448","MI","Public Schools of the City of Muskegon","161785",NA
"449","MI","Muskegon Area Intermediate School District","1091490",NA
"450","MI","Shiawassee Regional Educational Service District","42599",NA
"451","MI","School District of the City of East Lansing","161558",NA
"452","MI","School District of the City of Hazel Park","161717",NA
"453","MI","School District of the City of River Rouge","161832",NA
"454","MI","School District of the City of Saginaw","161839",NA
"455","MI","School District of the City of Wyandotte","161921",NA
"456","MI","School District of the City of Pontiac","161824",NA
"457","MI","Tuscola Intermediate School District","161874",NA
"458","MI","St. Joseph County Intermediate School District","1091502",NA
"459","MI","University Prep Art and Design","190004",NA
"460","MI","Van Buren Intermediate School District","34656",NA
"461","MI","The School District of the City of Harper Woods","161715",NA
"462","MI","Washtenaw Intermediate School District","161897",NA
"463","MI","Wayne County Regional Educational Service Agency","161900",NA
"464","MI","Wexford Missaukee Intermediate School District","161910",NA
"465","MN","Independent School District 2909 Rock Ridge Public Schools","224835",NA
"466","MN","Gateway STEM Academy Charter School No. 4264","224834",NA
"467","MN","Independent School District No. 2904","224836",NA
"468","MO","Albany R-III School District","224840",NA
"469","MO","Ash Grove R-IV School District","224841",NA
"470","MO","Ava R-1 School District","224842",NA
"471","MO","Calhoun R-VIII School District","99092",NA
"472","MO","Benton County R-1 School District","65409",NA
"473","MO","Camdenton R-III School Distrcit","224846",NA
"474","MO","Blair Oaks R-II School District","224844",NA
"475","MO","Blue Eye R-V School District","35335",NA
"476","MO","Clever R-V School District","81428",NA
"477","MO","Hollister R-V School District","35340",NA
"478","MO","Consolidated School District No IV of Jackson County","35234",NA
"479","MO","Carthage R-Ix School District","35241",NA
"480","MO","Lebanon R-III School District","44283",NA
"481","MO","Lawson R-Xiv School District","224864",NA
"482","MO","Dora R-III School District","224853",NA
"483","MO","Crane R-III School District","224851",NA
"484","MO","Lincoln R-II School District","224865",NA
"485","MO","Cole County R-I School District","224849",NA
"486","MO","Licking R-VIII School District","35342",NA
"487","MO","Exeter R-VI School District","224854",NA
"488","MO","Mountain View-Birch Tree R-III School District","43209",NA
"489","MO","Nixa Public Schools","35192",NA
"490","MO","Fair Play R-II School District","49460",NA
"491","MO","Neosho R-5 School District","35278",NA
"492","MO","Oak Grove R-VI School District","35237",NA
"493","MO","Fairview R-XI School District","224855",NA
"494","MO","Logan-Rogersville R-VIII School District","35217",NA
"495","MO","Pleasant Hill R-III School District","47241",NA
"496","MO","Dade County School District R-I","224852",NA
"497","MO","Mansfield R-IV School District","35351",NA
"498","MO","Mt. Vernon R-V School District","35257",NA
"499","MO","Maryville R-II School District","44561",NA
"500","MO","Greenfield R-IV School District","224857",NA
"501","MO","Mid-Buchanan R-V School District","224867",NA
"502","MO","Ozark R-VI School District","35193",NA
"503","MO","Galena R-II School District","65419",NA
"504","MO","Plato R-V School District","99096",NA
"505","MO","Miller R-II School District","167902",NA
"506","MO","Harrisonville Cass R-Ix School District","35189",NA
"507","MO","Platte County R-III School District","35292",NA
"508","MO","Richards R-V School District","203857",NA
"509","MO","Eldon R-1 School District","35268",NA
"510","MO","Richmond R-Xvi School District","35300",NA
"511","MO","Nevada R-V School District","167907",NA
"512","MO","Purdy R-II School District","46317",NA
"513","MO","Morgan County R-II School District","35274",NA
"514","MO","Fort Osage R-1 School District","35232",NA
"515","MO","Raymondville R-VII School District","224870",NA
"516","MO","Raymore-Peculiar R-II School District","41312",NA
"517","MO","Raytown C-2 School District","35238",NA
"518","MO","Laclede County R-I School District","35252",NA
"519","MO","Reorganized School Distict No IV of Jackson County","167913",NA
"520","MO","South Harrison County R-II School District","35223",NA
"521","MO","Lafayette County C-1 School District","42839",NA
"522","MO","Reorganized School District No II of Barton County","167915",NA
"523","MO","Norwood R-I School District","224868",NA
"524","MO","Knob Noster R-VIII School District","35250",NA
"525","MO","Republic R-III School District","35218",NA
"526","MO","Lathrop R-II School District","224863",NA
"527","MO","Strafford R-VI School District","35220",NA
"528","MO","Seneca R-VII School District","35279",NA
"529","MO","Glenwood R-VIII School District","224856",NA
"530","MO","Stockton R-I School District","54032",NA
"531","MO","Gainesville R-V School District","43570",NA
"532","MO","Marshfield R-1 School District","167901",NA
"533","MO","Southwest R-V School District","35171",NA
"534","MO","Taneyville R-II School District","224873",NA
"535","MO","Seymour R-II School District","35349",NA
"536","MO","Hartville R-II School District","35350",NA
"537","MO","Summersville R-II School District","167922",NA
"538","MO","Salisbury R-IV School District","224871",NA
"539","MO","Henry County R-I School District","35225",NA
"540","MO","Hermitage R-IV School District","224859",NA
"541","MO","Osceola School District","224869",NA
"542","MO","Thayer R-II School District","41934",NA
"543","MO","Iberia R-V School District","224861",NA
"544","MO","Tipton R-VI School District","224874",NA
"545","MO","Hickman Mills C-1 School Dstrict","224860",NA
"546","MO","Spokane R-VII School District","46568",NA
"547","MO","Hickory County R-1 School District","167894",NA
"548","MO","Odessa R-VII School District","35255",NA
